Dates,SH US Equity
21-06-2006,553.52
22-06-2006,557.92
23-06-2006,558.08
26-06-2006,556.32
27-06-2006,561.12
28-06-2006,558.24
29-06-2006,546
30-06-2006,546.8
03-07-2006,543.6
05-07-2006,547.6
06-07-2006,546.8
07-07-2006,550.72
10-07-2006,550.16
11-07-2006,547.44
12-07-2006,554
13-07-2006,561.44
14-07-2006,563.84
17-07-2006,565.6
18-07-2006,564
19-07-2006,554.08
20-07-2006,559.52
21-07-2006,563.12
24-07-2006,553.92
25-07-2006,551.12
26-07-2006,550.288
27-07-2006,553.6
28-07-2006,547.283
31-07-2006,547.36
01-08-2006,550.96
02-08-2006,547.6
03-08-2006,546.4
04-08-2006,547.52
07-08-2006,549.12
08-08-2006,551.52
09-08-2006,553.44
10-08-2006,551.6
11-08-2006,553.52
14-08-2006,552.4
15-08-2006,546.16
16-08-2006,542
17-08-2006,540.48
18-08-2006,539.2
21-08-2006,540.88
22-08-2006,540.88
23-08-2006,543.68
24-08-2006,542.4
25-08-2006,542.56
28-08-2006,540
29-08-2006,539.28
30-08-2006,539.28
31-08-2006,539.12
01-09-2006,536.8
05-09-2006,536.319
06-09-2006,541.92
07-09-2006,544.8
08-09-2006,542.48
11-09-2006,542.856
12-09-2006,536.88
13-09-2006,534.64
14-09-2006,536
15-09-2006,535.04
18-09-2006,534.24
19-09-2006,535.28
20-09-2006,532.64
21-09-2006,535.36
22-09-2006,537.44
25-09-2006,532.8
26-09-2006,528.64
27-09-2006,528.96
28-09-2006,528.56
29-09-2006,529.68
02-10-2006,532.16
03-10-2006,530.96
04-10-2006,525.12
05-10-2006,523.44
06-10-2006,524.4
09-10-2006,524.64
10-10-2006,524
11-10-2006,525.3265
12-10-2006,520.64
13-10-2006,519.44
16-10-2006,518.64
17-10-2006,520.56
18-10-2006,520.24
19-10-2006,519.92
20-10-2006,519.36
23-10-2006,516.8
24-10-2006,516.639
25-10-2006,514.8
26-10-2006,512.4
27-10-2006,516
30-10-2006,516.8
31-10-2006,517.52
01-11-2006,521.2
02-11-2006,522
03-11-2006,522.24
06-11-2006,517.28
07-11-2006,515.68
08-11-2006,514.88
09-11-2006,517.44
10-11-2006,516.64
13-11-2006,515.44
14-11-2006,512.24
15-11-2006,510.64
16-11-2006,509.92
17-11-2006,509.76
20-11-2006,510.24
21-11-2006,509.68
22-11-2006,508.16
24-11-2006,510.4
27-11-2006,517.6
28-11-2006,516
29-11-2006,511.36
30-11-2006,511.2
01-12-2006,513.04
04-12-2006,508
05-12-2006,505.68
06-12-2006,506.64
07-12-2006,508.72
08-12-2006,508.32
11-12-2006,506.8
12-12-2006,507.36
13-12-2006,506.88
14-12-2006,503.2
15-12-2006,502.16
18-12-2006,504.24
19-12-2006,503.36
20-12-2006,495.12
21-12-2006,496.8775
22-12-2006,499.2
26-12-2006,497.52
27-12-2006,493.84
28-12-2006,495.28
29-12-2006,498.4
03-01-2007,499.28
04-01-2007,498.399
05-01-2007,501.44
08-01-2007,500.64
09-01-2007,500.733
10-01-2007,500.24
11-01-2007,497.04
12-01-2007,494.4
16-01-2007,495.04
17-01-2007,495.759
18-01-2007,497.6
19-01-2007,496.64
22-01-2007,499.281
23-01-2007,498.08
24-01-2007,494
25-01-2007,499.359
26-01-2007,500.48
29-01-2007,501.12
30-01-2007,498.16
31-01-2007,495.36
01-02-2007,492.24
02-02-2007,491.68
05-02-2007,491.92
06-02-2007,492.08
07-02-2007,491.44
08-02-2007,491.76
09-02-2007,495.52
12-02-2007,497.28
13-02-2007,493.84
14-02-2007,490.24
15-02-2007,489.84
16-02-2007,490.4
20-02-2007,489.36
21-02-2007,489.92
22-02-2007,490.64
23-02-2007,492.4
26-02-2007,493.36
27-02-2007,512.56
28-02-2007,508.8
01-03-2007,510
02-03-2007,516.56
05-03-2007,521.2
06-03-2007,512.72
07-03-2007,513.76
08-03-2007,510.24
09-03-2007,510.16
12-03-2007,509.2
13-03-2007,519.84
14-03-2007,514.4
15-03-2007,514.16
16-03-2007,516.64
19-03-2007,510.72
20-03-2007,507.76
21-03-2007,499.44
22-03-2007,498.721
23-03-2007,498.64
26-03-2007,499.12
27-03-2007,498.32
28-03-2007,500.8
29-03-2007,500.88
30-03-2007,502.08
02-04-2007,500.8
03-04-2007,495.92
04-04-2007,495.36
05-04-2007,493.6
09-04-2007,494
10-04-2007,492.8
11-04-2007,496
12-04-2007,493.28
13-04-2007,491.84
16-04-2007,487.36
17-04-2007,486
18-04-2007,485.68
19-04-2007,486.08
20-04-2007,481.92
23-04-2007,483.76
24-04-2007,483.92
25-04-2007,479.04
26-04-2007,478
27-04-2007,479.92
30-04-2007,484
01-05-2007,482.8
02-05-2007,480.16
03-05-2007,478
04-05-2007,476.72
07-05-2007,476.4
08-05-2007,476.72
09-05-2007,475.119
10-05-2007,481.36
11-05-2007,476.4
14-05-2007,478.64
15-05-2007,478.72
16-05-2007,474.8
17-05-2007,475.36
18-05-2007,472.32
21-05-2007,472.64
22-05-2007,472.8
23-05-2007,473.44
24-05-2007,478
25-05-2007,475.28
29-05-2007,474.64
30-05-2007,471.6
31-05-2007,471.6
01-06-2007,469.44
04-06-2007,468.8
05-06-2007,471.36
06-06-2007,476.88
07-06-2007,484.8
08-06-2007,479.44
11-06-2007,478.88
12-06-2007,483.92
13-06-2007,476.32
14-06-2007,474.88
15-06-2007,471.76
18-06-2007,472.56
19-06-2007,471.44
20-06-2007,478.116
21-06-2007,475.28
22-06-2007,480.32
25-06-2007,482.96
26-06-2007,482.8
27-06-2007,476.56
28-06-2007,477.52
29-06-2007,477.92
02-07-2007,473.76
03-07-2007,471.44
05-07-2007,471.6
06-07-2007,470.265
09-07-2007,469.52
10-07-2007,476.48
11-07-2007,473.44
12-07-2007,466.4
13-07-2007,464.08
16-07-2007,464.96
17-07-2007,464.56
18-07-2007,465.921
19-07-2007,465.52
20-07-2007,470.4
23-07-2007,468.08
24-07-2007,477.2
25-07-2007,475.6
26-07-2007,488
27-07-2007,497.52
30-07-2007,490
31-07-2007,496.56
01-08-2007,493.04
02-08-2007,489.12
03-08-2007,502.72
06-08-2007,494.4
07-08-2007,490
08-08-2007,481.6
09-08-2007,495.92
10-08-2007,499.44
13-08-2007,496.8
14-08-2007,504.4
15-08-2007,512.16
16-08-2007,510.4
17-08-2007,499.6
20-08-2007,499.16
21-08-2007,499.84
22-08-2007,493.84
23-08-2007,494.32
24-08-2007,487.84
27-08-2007,492
28-08-2007,503.2
29-08-2007,492.96
30-08-2007,494.72
31-08-2007,490.8
04-09-2007,485.2
05-09-2007,490.8
06-09-2007,489.84
07-09-2007,496.16
10-09-2007,498.32
11-09-2007,492
12-09-2007,491.6735
13-09-2007,487.635
14-09-2007,487.44
17-09-2007,490.32
18-09-2007,476.24
19-09-2007,473.248
20-09-2007,476
21-09-2007,474.24
24-09-2007,477.2
25-09-2007,470.801
26-09-2007,468.56
27-09-2007,466.4
28-09-2007,467.92
01-10-2007,462.4
02-10-2007,462.56
03-10-2007,464.8
04-10-2007,464.08
05-10-2007,459.76
08-10-2007,461.28
09-10-2007,457.28
10-10-2007,459.2
11-10-2007,460.8
12-10-2007,458.64
15-10-2007,463.6
16-10-2007,466.4
17-10-2007,465.2
18-10-2007,465.68
19-10-2007,478.08
22-10-2007,476.96
23-10-2007,472
24-10-2007,473.441
25-10-2007,474
26-10-2007,468.56
29-10-2007,466.16
30-10-2007,469.117
31-10-2007,463.92
01-11-2007,478.64
02-11-2007,476.16
05-11-2007,478.56
06-11-2007,473.76
07-11-2007,484.72
08-11-2007,486.48
09-11-2007,494.799
12-11-2007,500.4
13-11-2007,486.24
14-11-2007,487.92
15-11-2007,494.4
16-11-2007,491.2
19-11-2007,500.88
20-11-2007,498.4
21-11-2007,509.6
23-11-2007,500
26-11-2007,510.4
27-11-2007,503.12
28-11-2007,489.36
29-11-2007,488.399
30-11-2007,484.48
03-12-2007,487.521
04-12-2007,491.2
05-12-2007,483.28
06-12-2007,476.96
07-12-2007,478.8
10-12-2007,474.4
11-12-2007,484.8
12-12-2007,483.2
13-12-2007,482.241
14-12-2007,489.6
17-12-2007,497.12
18-12-2007,493.84
19-12-2007,494.72
20-12-2007,486
21-12-2007,479.04
24-12-2007,478.16
26-12-2007,475.76
27-12-2007,479.84
28-12-2007,482.4
31-12-2007,486.16
02-01-2008,492
03-01-2008,493.04
04-01-2008,504.56
07-01-2008,503.681
08-01-2008,512.56
09-01-2008,505.6
10-01-2008,502.8
11-01-2008,509.6
14-01-2008,504
15-01-2008,516.08
16-01-2008,519.679
17-01-2008,533.6
18-01-2008,538.8
22-01-2008,547.6
23-01-2008,533.44
24-01-2008,529.76
25-01-2008,532
28-01-2008,529.2
29-01-2008,526
30-01-2008,531.2
31-01-2008,522
01-02-2008,512.64
04-02-2008,518.4
05-02-2008,531.04
06-02-2008,537.92
07-02-2008,532.64
08-02-2008,536.08
11-02-2008,532
12-02-2008,529.44
13-02-2008,521.76
14-02-2008,526.4
15-02-2008,528.16
19-02-2008,527.2
20-02-2008,524.64
21-02-2008,530.4
22-02-2008,524.8
25-02-2008,518.4
26-02-2008,516.4
27-02-2008,516.879
28-02-2008,522
29-02-2008,532.8
03-03-2008,535.76
04-03-2008,535.2
05-03-2008,535.2
06-03-2008,544
07-03-2008,551.36
10-03-2008,559.04
11-03-2008,536.88
12-03-2008,542.88
13-03-2008,540.8
14-03-2008,553.04
17-03-2008,556.64
18-03-2008,533.12
19-03-2008,548
20-03-2008,536.8
24-03-2008,525.52
25-03-2008,524
26-03-2008,531.2
27-03-2008,533.2
28-03-2008,536
31-03-2008,535.6
01-04-2008,515.36
02-04-2008,516
03-04-2008,514.24
04-04-2008,514.56
07-04-2008,514.64
08-04-2008,516.48
09-04-2008,520.48
10-04-2008,519.04
11-04-2008,528.48
14-04-2008,531.104
15-04-2008,529.28
16-04-2008,515.36
17-04-2008,513.76
18-04-2008,508.24
21-04-2008,508.4
22-04-2008,510.48
23-04-2008,511.68
24-04-2008,509.44
25-04-2008,504.8
28-04-2008,505.52
29-04-2008,506.88
30-04-2008,508.8
01-05-2008,499.68
02-05-2008,498.64
05-05-2008,500.24
06-05-2008,496.48
07-05-2008,506.72
08-05-2008,505.92
09-05-2008,507.6
12-05-2008,501.52
13-05-2008,502
14-05-2008,500.32
15-05-2008,494.8
16-05-2008,495.28
19-05-2008,493.04
20-05-2008,497.2
21-05-2008,506
22-05-2008,507.2
23-05-2008,512.72
27-05-2008,508.56
28-05-2008,507.04
29-05-2008,504.112
30-05-2008,504.16
02-06-2008,509.041
03-06-2008,511.76
04-06-2008,512
05-06-2008,501.6
06-06-2008,518.32
09-06-2008,516.64
10-06-2008,518.64
11-06-2008,526.56
12-06-2008,525.92
13-06-2008,517.6
16-06-2008,517.76
17-06-2008,520.88
18-06-2008,526.4
19-06-2008,525
20-06-2008,534.08
23-06-2008,534.16
24-06-2008,534.08
25-06-2008,531.04
26-06-2008,546.72
27-06-2008,548.08
30-06-2008,548.24
01-07-2008,546.4
02-07-2008,554.96
03-07-2008,556.32
07-07-2008,561.6
08-07-2008,551.2
09-07-2008,562.56
10-07-2008,558.88
11-07-2008,566.32
14-07-2008,570.96
15-07-2008,577.28
16-07-2008,564
17-07-2008,559.68
18-07-2008,556.16
21-07-2008,555.92
22-07-2008,548.64
23-07-2008,546.16
24-07-2008,558.641
25-07-2008,558.8
28-07-2008,567.04
29-07-2008,553.84
30-07-2008,544.96
31-07-2008,552.48
01-08-2008,554.24
04-08-2008,560.08
05-08-2008,544.8
06-08-2008,543.04
07-08-2008,550.8
08-08-2008,539.52
11-08-2008,535.6
12-08-2008,540
13-08-2008,542.4
14-08-2008,537.12
15-08-2008,536.88
18-08-2008,545.6
19-08-2008,549.6
20-08-2008,547.6
21-08-2008,546.64
22-08-2008,541.6
25-08-2008,551.36
26-08-2008,548.96
27-08-2008,545.36
28-08-2008,537.52
29-08-2008,544
02-09-2008,546.72
03-09-2008,547.04
04-09-2008,564
05-09-2008,562.24
08-09-2008,550.08
09-09-2008,567.52
10-09-2008,564.96
11-09-2008,557.2
12-09-2008,552.96
15-09-2008,579.6
16-09-2008,570.8
17-09-2008,597.6
18-09-2008,577.6
19-09-2008,552.16
22-09-2008,569.6
23-09-2008,580.8
24-09-2008,576.64
25-09-2008,565.12
26-09-2008,565.2
29-09-2008,612
30-09-2008,584.8
01-10-2008,587.2
02-10-2008,602.4
03-10-2008,616
06-10-2008,641.6
07-10-2008,676.8
08-10-2008,687.92
09-10-2008,733.6
10-10-2008,736
13-10-2008,656.4
14-10-2008,663.2
15-10-2008,725.6
16-10-2008,696
17-10-2008,698.4
20-10-2008,664
21-10-2008,686.4
22-10-2008,728.8
23-10-2008,716
24-10-2008,747.2
27-10-2008,769.6
28-10-2008,684.8
29-10-2008,691.6
30-10-2008,673.52
31-10-2008,664.8
03-11-2008,665.2
04-11-2008,637.6
05-11-2008,672
06-11-2008,704
07-11-2008,684.64
10-11-2008,692.8
11-11-2008,708.8
12-11-2008,744.72
13-11-2008,690.4
14-11-2008,721.92
17-11-2008,740.8
18-11-2008,734.16
19-11-2008,776.56
20-11-2008,829.04
21-11-2008,776.64
24-11-2008,735.92
25-11-2008,722.4
26-11-2008,697.68
28-11-2008,690.08
01-12-2008,753.28
02-12-2008,721.6
03-12-2008,699.92
04-12-2008,721.84
05-12-2008,696.48
08-12-2008,671.68
09-12-2008,684.4
10-12-2008,677.52
11-12-2008,694.64
12-12-2008,690.48
15-12-2008,698.56
16-12-2008,663.808
17-12-2008,669.76
18-12-2008,683.76
19-12-2008,684.64
22-12-2008,693.68
23-12-2008,604.8
24-12-2008,601.52
26-12-2008,598.24
29-12-2008,600.88
30-12-2008,587.04
31-12-2008,576.16
02-01-2009,559.68
05-01-2009,560.64
06-01-2009,556.8
07-01-2009,573.328
08-01-2009,571.36
09-01-2009,583.68
12-01-2009,597.52
13-01-2009,596.464
14-01-2009,616.64
15-01-2009,612.4
16-01-2009,609.76
20-01-2009,642.32
21-01-2009,613.488
22-01-2009,622.24
23-01-2009,620.64
26-01-2009,616.48
27-01-2009,609.84
28-01-2009,590
29-01-2009,608.24
30-01-2009,621.2
02-02-2009,623.52
03-02-2009,614.24
04-02-2009,617.36
05-02-2009,608.16
06-02-2009,590.72
09-02-2009,589.36
10-02-2009,616.96
11-02-2009,612.72
12-02-2009,612.56
13-02-2009,618.56
17-02-2009,646
18-02-2009,646.72
19-02-2009,653.52
20-02-2009,660.64
23-02-2009,683.68
24-02-2009,657.36
25-02-2009,663.6
26-02-2009,673.68
27-02-2009,687.6
02-03-2009,720.08
03-03-2009,725.76
04-03-2009,707.76
05-03-2009,736
06-03-2009,736.8
09-03-2009,745.12
10-03-2009,699.52
11-03-2009,695.6
12-03-2009,667.52
13-03-2009,661.84
16-03-2009,663.2
17-03-2009,643.6
18-03-2009,629.84
19-03-2009,638
20-03-2009,651.2
23-03-2009,603.6
24-03-2009,615.2
25-03-2009,610.56
26-03-2009,596.8
27-03-2009,607.76
30-03-2009,629.44
31-03-2009,626
01-04-2009,611.52
02-04-2009,593.52
03-04-2009,587.04
06-04-2009,591.44
07-04-2009,605.52
08-04-2009,598.56
09-04-2009,575.2
13-04-2009,575.12
14-04-2009,585.12
15-04-2009,578.8
16-04-2009,569.92
17-04-2009,566.56
20-04-2009,589.2
21-04-2009,578.32
22-04-2009,582
23-04-2009,576.64
24-04-2009,567.6
27-04-2009,572.64
28-04-2009,573.92
29-04-2009,562.32
30-04-2009,561.92
01-05-2009,558.56
04-05-2009,539.2
05-05-2009,541.28
06-05-2009,532.064
07-05-2009,539.04
08-05-2009,526.24
11-05-2009,536.72
12-05-2009,537.52
13-05-2009,551.04
14-05-2009,548.24
15-05-2009,551.92
18-05-2009,535.36
19-05-2009,536.16
20-05-2009,540.16
21-05-2009,547.52
22-05-2009,548.4
26-05-2009,534.88
27-05-2009,544.64
28-05-2009,536.48
29-05-2009,526.56
01-06-2009,514.48
02-06-2009,513.68
03-06-2009,519.6
04-06-2009,515.28
05-06-2009,514.96
08-06-2009,517.44
09-06-2009,514.72
10-06-2009,516.56
11-06-2009,513.6
12-06-2009,511.84
15-06-2009,524.72
16-06-2009,531.28
17-06-2009,531.2
18-06-2009,527.76
19-06-2009,528.08
22-06-2009,542.24
23-06-2009,540.96
24-06-2009,536.16
25-06-2009,525.12
26-06-2009,526.48
29-06-2009,521.28
30-06-2009,525.68
01-07-2009,523.36
02-07-2009,537.68
06-07-2009,536.64
07-07-2009,547.68
08-07-2009,548.32
09-07-2009,547.04
10-07-2009,548.48
13-07-2009,535.2
14-07-2009,531.76
15-07-2009,516.16
16-07-2009,511.04
17-07-2009,510.96
20-07-2009,505.76
21-07-2009,503.36
22-07-2009,504.16
23-07-2009,492.56
24-07-2009,490.08
27-07-2009,488.64
28-07-2009,490.064
29-07-2009,492.08
30-07-2009,486.96
31-07-2009,486.32
03-08-2009,478.4
04-08-2009,476.88
05-08-2009,478.32
06-08-2009,480.88
07-08-2009,474.64
10-08-2009,475.6
11-08-2009,481.84
12-08-2009,476.4
13-08-2009,472.56
14-08-2009,476.16
17-08-2009,488.48
18-08-2009,483.672
19-08-2009,479.84
20-08-2009,474.64
21-08-2009,465.92
24-08-2009,465.44
25-08-2009,464.72
26-08-2009,464.56
27-08-2009,463.28
28-08-2009,464
31-08-2009,467.68
01-09-2009,478.64
02-09-2009,480
03-09-2009,476.32
04-09-2009,469.36
08-09-2009,465.12
09-09-2009,461.2
10-09-2009,456.48
11-09-2009,456.64
14-09-2009,454.32
15-09-2009,452.4
16-09-2009,445.44
17-09-2009,446.16
18-09-2009,445.84
21-09-2009,447.12
22-09-2009,444.4
23-09-2009,448
24-09-2009,453.28
25-09-2009,455.44
28-09-2009,447.68
29-09-2009,448.72
30-09-2009,450.16
01-10-2009,461.9055
02-10-2009,464
05-10-2009,457.04
06-10-2009,450.24
07-10-2009,448.8
08-10-2009,445.68
09-10-2009,442.88
12-10-2009,440.64
13-10-2009,441.6
14-10-2009,434
15-10-2009,432.88
16-10-2009,435.52
19-10-2009,431.92
20-10-2009,434.32
21-10-2009,438.48
22-10-2009,434.08
23-10-2009,438.72
26-10-2009,444
27-10-2009,445.76
28-10-2009,454.16
29-10-2009,444.72
30-10-2009,456.88
02-11-2009,453.84
03-11-2009,452.16
04-11-2009,451.6
05-11-2009,442.8
06-11-2009,441.52
09-11-2009,431.2
10-11-2009,431.28
11-11-2009,429.04
12-11-2009,433.68
13-11-2009,431.28
