DATE,RISK FREE RATE (30Y Bond yield)
03-01-2000,6.622
04-01-2000,6.537
05-01-2000,6.621
06-01-2000,6.553
07-01-2000,6.546
10-01-2000,6.584
11-01-2000,6.671
12-01-2000,6.719
13-01-2000,6.653
14-01-2000,6.697
17-01-2000,6.689
18-01-2000,6.747
19-01-2000,6.717
20-01-2000,6.747
21-01-2000,6.695
24-01-2000,6.65
25-01-2000,6.634
26-01-2000,6.571
27-01-2000,6.519
28-01-2000,6.452
31-01-2000,6.491
01-02-2000,6.423
02-02-2000,6.284
03-02-2000,6.136
04-02-2000,6.271
07-02-2000,6.342
08-02-2000,6.231
09-02-2000,6.314
10-02-2000,6.429
11-02-2000,6.269
14-02-2000,6.227
15-02-2000,6.246
16-02-2000,6.265
17-02-2000,6.218
18-02-2000,6.158
21-02-2000,6.159
22-02-2000,6.086
23-02-2000,6.126
24-02-2000,6.137
25-02-2000,6.129
28-02-2000,6.187
29-02-2000,6.14
01-03-2000,6.158
02-03-2000,6.132
03-03-2000,6.132
06-03-2000,6.143
07-03-2000,6.145
08-03-2000,6.161
09-03-2000,6.152
10-03-2000,6.176
13-03-2000,6.17
14-03-2000,6.09
15-03-2000,6.079
16-03-2000,6.043
17-03-2000,6
20-03-2000,6.004
21-03-2000,5.969
22-03-2000,5.958
23-03-2000,5.907
24-03-2000,5.986
27-03-2000,5.978
28-03-2000,5.977
29-03-2000,5.974
30-03-2000,5.878
31-03-2000,5.828
03-04-2000,5.812
04-04-2000,5.773
05-04-2000,5.778
06-04-2000,5.794
07-04-2000,5.709
10-04-2000,5.668
11-04-2000,5.77
12-04-2000,5.813
13-04-2000,5.792
14-04-2000,5.776
17-04-2000,5.932
18-04-2000,5.91
19-04-2000,5.847
20-04-2000,5.83
21-04-2000,5.827
24-04-2000,5.875
25-04-2000,5.936
26-04-2000,5.944
27-04-2000,5.985
28-04-2000,5.96
01-05-2000,5.988
02-05-2000,6.011
03-05-2000,6.116
04-05-2000,6.155
05-05-2000,6.188
08-05-2000,6.243
09-05-2000,6.213
10-05-2000,6.149
11-05-2000,6.146
12-05-2000,6.201
15-05-2000,6.154
16-05-2000,6.113
17-05-2000,6.184
18-05-2000,6.227
19-05-2000,6.206
22-05-2000,6.185
23-05-2000,6.16
24-05-2000,6.193
25-05-2000,6.106
26-05-2000,6.059
29-05-2000,6.06
30-05-2000,6.092
31-05-2000,6.008
01-06-2000,5.943
02-06-2000,5.945
05-06-2000,5.915
06-06-2000,5.908
07-06-2000,5.907
08-06-2000,5.886
09-06-2000,5.895
12-06-2000,5.871
13-06-2000,5.949
14-06-2000,5.91
15-06-2000,5.923
16-06-2000,5.869
