Dates,VIX FUTURE (VX1)
31-01-2007,652.7
01-02-2007,662.3
02-02-2007,647.7
05-02-2007,651.1
06-02-2007,654.9
07-02-2007,655.3
08-02-2007,657.4
09-02-2007,665.8
12-02-2007,665.6
13-02-2007,668.8
14-02-2007,669.1
15-02-2007,665.7
16-02-2007,665.8
19-02-2007,671.1
20-02-2007,664.2
21-02-2007,661.4
22-02-2007,676.5
23-02-2007,683
30-03-2007,664.2
02-04-2007,660.4
03-04-2007,665.9
04-04-2007,674.3
05-04-2007,675.5
06-04-2007,675.4
10-04-2007,678.9
11-04-2007,679.6
12-04-2007,678.5
13-04-2007,682.9
16-04-2007,687.4
17-04-2007,688.8
18-04-2007,689.4
19-04-2007,682.5
20-04-2007,691.9
23-04-2007,688.9
24-04-2007,689.8
25-04-2007,684
31-05-2007,661.6
01-06-2007,668.9
04-06-2007,673.2
05-06-2007,673.5
06-06-2007,671.6
07-06-2007,670.6
08-06-2007,657
11-06-2007,651.7
12-06-2007,648.6
13-06-2007,648.9
14-06-2007,654.4
18-06-2007,656.8
19-06-2007,657
20-06-2007,658
21-06-2007,651
22-06-2007,653.2
25-06-2007,650.8
26-06-2007,647
31-07-2007,668.2
01-08-2007,662.8
02-08-2007,668.8
03-08-2007,672.9
06-08-2007,673.6
07-08-2007,670
08-08-2007,677.5
09-08-2007,664.4
10-08-2007,670.3
13-08-2007,670.2
14-08-2007,669.7
15-08-2007,668.5
16-08-2007,663.4
17-08-2007,658.6
21-08-2007,658.2
22-08-2007,660.1
23-08-2007,661.2
24-08-2007,661.2
27-08-2007,660.9
28-08-2007,666
28-09-2007,745.9
01-10-2007,745
02-10-2007,733.4
03-10-2007,732.5
04-10-2007,727.7
05-10-2007,739.1
08-10-2007,735.5
09-10-2007,737.7
10-10-2007,742.9
12-10-2007,750.9
15-10-2007,760
16-10-2007,757.8
17-10-2007,763.4
18-10-2007,765
19-10-2007,763.7
24-10-2007,757.7
25-10-2007,767.6
26-10-2007,779.2
30-11-2007,785.7
03-12-2007,786.1
04-12-2007,799.3
05-12-2007,794.7
06-12-2007,803.1
07-12-2007,794
11-12-2007,809.8
12-12-2007,814.9
13-12-2007,801.5
14-12-2007,790.2
17-12-2007,791.1
18-12-2007,804.6
19-12-2007,800
20-12-2007,795.3
21-12-2007,810.5
31-01-2008,925.2
01-02-2008,916.6
04-02-2008,895.4
05-02-2008,889
06-02-2008,904.5
07-02-2008,901.2
08-02-2008,917.6
11-02-2008,919.1
12-02-2008,918
13-02-2008,900
14-02-2008,906.9
15-02-2008,913.3
18-02-2008,903.8
19-02-2008,924.5
20-02-2008,920.4
21-02-2008,945.4
22-02-2008,943.3
25-02-2008,937.8
26-02-2008,937
01-04-2008,889.4
02-04-2008,891.6
03-04-2008,898
04-04-2008,907
07-04-2008,927.7
08-04-2008,916.1
09-04-2008,918.1
10-04-2008,929
11-04-2008,928.6
14-04-2008,927.2
15-04-2008,930.4
16-04-2008,945.6
17-04-2008,946.5
18-04-2008,909.2
21-04-2008,918.8
22-04-2008,918.2
23-04-2008,898.6
24-04-2008,895.6
25-04-2008,891.5
30-05-2008,887.2
02-06-2008,889.5
03-06-2008,880.5
04-06-2008,884.7
05-06-2008,879.9
06-06-2008,891.6
09-06-2008,897.1
10-06-2008,878.8
11-06-2008,877
12-06-2008,863
13-06-2008,866.7
16-06-2008,888.8
17-06-2008,881.9
18-06-2008,887.9
19-06-2008,903.3
20-06-2008,907.8
23-06-2008,881.1
24-06-2008,889.6
25-06-2008,883
31-07-2008,919.6
01-08-2008,914.1
04-08-2008,907.1
05-08-2008,883.2
06-08-2008,880.7
07-08-2008,872.6
08-08-2008,853.5
11-08-2008,853.3
12-08-2008,819
13-08-2008,819.9
14-08-2008,819.6
15-08-2008,787.6
18-08-2008,796.7
19-08-2008,790.9
21-08-2008,833.8
22-08-2008,824.2
25-08-2008,824.1
26-08-2008,822
30-09-2008,886.5
01-10-2008,881.9
02-10-2008,853.7
03-10-2008,829.6
06-10-2008,876.7
07-10-2008,877.5
08-10-2008,904.3
09-10-2008,884.5
10-10-2008,901.5
13-10-2008,832.2
14-10-2008,833.2
15-10-2008,847.6
16-10-2008,803.1
17-10-2008,785
20-10-2008,795.3
21-10-2008,772.2
22-10-2008,744.1
27-10-2008,730.5
28-10-2008,730.5
28-11-2008,815.1
01-12-2008,778.1
02-12-2008,780.1
03-12-2008,766.3
04-12-2008,773.4
05-12-2008,749.1
08-12-2008,767.3
09-12-2008,767.8
10-12-2008,802.3
11-12-2008,827.8
12-12-2008,826.6
15-12-2008,826
16-12-2008,838.3
17-12-2008,870
18-12-2008,855.3
19-12-2008,835.8
22-12-2008,849
23-12-2008,843.5
02-02-2009,918.4
03-02-2009,904.7
04-02-2009,905.2
05-02-2009,920.2
06-02-2009,913.2
09-02-2009,895.1
10-02-2009,909.9
11-02-2009,938.1
12-02-2009,943.4
13-02-2009,935.6
16-02-2009,942.6
17-02-2009,968.1
18-02-2009,964.1
19-02-2009,980.6
20-02-2009,989
23-02-2009,985.8
24-02-2009,984.3
31-03-2009,917
01-04-2009,924.9
02-04-2009,898.2
03-04-2009,905.4
06-04-2009,870.6
07-04-2009,880.1
08-04-2009,880.3
09-04-2009,880.8
10-04-2009,880.8
14-04-2009,887.7
15-04-2009,891.2
16-04-2009,880.7
17-04-2009,870.6
20-04-2009,877.1
21-04-2009,888.8
22-04-2009,886.1
23-04-2009,897.6
24-04-2009,907.5
27-04-2009,907.5
29-05-2009,975.8
02-06-2009,980.3
03-06-2009,977
04-06-2009,971
05-06-2009,962.2
08-06-2009,943.9
09-06-2009,956.2
10-06-2009,953.9
11-06-2009,947.6
12-06-2009,937.4
15-06-2009,932.4
16-06-2009,934.1
17-06-2009,930.6
18-06-2009,940.6
19-06-2009,935.3
22-06-2009,919.3
23-06-2009,920.8
24-06-2009,933.5
25-06-2009,937.3
19-10-2009,1047.6
,
,
,
,
,
,
,
,
,
,
,
,
