Dates,USD/CNY
03-01-2000,8.2798
04-01-2000,8.2799
05-01-2000,8.2798
06-01-2000,8.2797
07-01-2000,8.2794
10-01-2000,8.2794
11-01-2000,8.2795
12-01-2000,8.2796
13-01-2000,8.2798
14-01-2000,8.2797
17-01-2000,8.2793
18-01-2000,8.2793
19-01-2000,8.2797
20-01-2000,8.2794
21-01-2000,8.2795
24-01-2000,8.2789
25-01-2000,8.2786
26-01-2000,8.2782
27-01-2000,8.2783
28-01-2000,8.2781
31-01-2000,8.2777
01-02-2000,8.2774
02-02-2000,8.2773
03-02-2000,8.2781
04-02-2000,8.2788
07-02-2000,8.2788
08-02-2000,8.2788
09-02-2000,8.2788
10-02-2000,8.2788
11-02-2000,8.2788
14-02-2000,8.2779
15-02-2000,8.2777
16-02-2000,8.2777
17-02-2000,8.2772
18-02-2000,8.2772
21-02-2000,8.2775
22-02-2000,8.2773
23-02-2000,8.278
24-02-2000,8.278
25-02-2000,8.2786
28-02-2000,8.2786
29-02-2000,8.2786
01-03-2000,8.2786
02-03-2000,8.2787
03-03-2000,8.2789
06-03-2000,8.2785
07-03-2000,8.2784
08-03-2000,8.2786
09-03-2000,8.2787
10-03-2000,8.2785
13-03-2000,8.2781
14-03-2000,8.278
15-03-2000,8.2778
16-03-2000,8.278
17-03-2000,8.278
20-03-2000,8.2786
21-03-2000,8.2783
22-03-2000,8.2783
23-03-2000,8.2787
24-03-2000,8.2789
27-03-2000,8.2792
28-03-2000,8.2795
29-03-2000,8.2789
30-03-2000,8.2788
31-03-2000,8.2787
03-04-2000,8.2786
04-04-2000,8.2791
05-04-2000,8.2795
06-04-2000,8.2795
07-04-2000,8.2795
10-04-2000,8.2798
11-04-2000,8.2791
12-04-2000,8.2796
13-04-2000,8.2794
14-04-2000,8.2794
17-04-2000,8.2794
18-04-2000,8.279
19-04-2000,8.2793
20-04-2000,8.2791
21-04-2000,8.2785
24-04-2000,8.2786
25-04-2000,8.2791
26-04-2000,8.2795
27-04-2000,8.2798
28-04-2000,8.2799
01-05-2000,8.2799
02-05-2000,8.2799
03-05-2000,8.2799
04-05-2000,8.2799
05-05-2000,8.2799
08-05-2000,8.2798
09-05-2000,8.279
10-05-2000,8.2785
11-05-2000,8.2782
12-05-2000,8.2778
15-05-2000,8.2777
16-05-2000,8.2777
17-05-2000,8.2768
18-05-2000,8.2773
19-05-2000,8.2768
22-05-2000,8.277
23-05-2000,8.2768
24-05-2000,8.2769
25-05-2000,8.2773
26-05-2000,8.2771
29-05-2000,8.2768
30-05-2000,8.2777
31-05-2000,8.2773
01-06-2000,8.2771
02-06-2000,8.2771
05-06-2000,8.277
06-06-2000,8.2773
07-06-2000,8.2773
08-06-2000,8.2775
09-06-2000,8.2772
12-06-2000,8.2771
13-06-2000,8.277
14-06-2000,8.2768
15-06-2000,8.2768
16-06-2000,8.2768
19-06-2000,8.2768
20-06-2000,8.277
21-06-2000,8.2772
22-06-2000,8.2771
23-06-2000,8.2769
26-06-2000,8.2773
27-06-2000,8.2774
28-06-2000,8.2775
29-06-2000,8.278
30-06-2000,8.2782
03-07-2000,8.2786
04-07-2000,8.2789
05-07-2000,8.2787
06-07-2000,8.2791
07-07-2000,8.2793
10-07-2000,8.2795
11-07-2000,8.2794
12-07-2000,8.2795
13-07-2000,8.2791
14-07-2000,8.2796
17-07-2000,8.2791
18-07-2000,8.2796
19-07-2000,8.2796
20-07-2000,8.2796
21-07-2000,8.2795
24-07-2000,8.2798
25-07-2000,8.2797
26-07-2000,8.2796
27-07-2000,8.2793
28-07-2000,8.2794
31-07-2000,8.2792
01-08-2000,8.2788
02-08-2000,8.2791
03-08-2000,8.2796
04-08-2000,8.2798
07-08-2000,8.2799
08-08-2000,8.2799
09-08-2000,8.2798
10-08-2000,8.2799
11-08-2000,8.2796
14-08-2000,8.2795
15-08-2000,8.2788
16-08-2000,8.2797
17-08-2000,8.2799
18-08-2000,8.2797
21-08-2000,8.2799
22-08-2000,8.2799
23-08-2000,8.2796
24-08-2000,8.2799
25-08-2000,8.2799
28-08-2000,8.2799
29-08-2000,8.2799
30-08-2000,8.2788
31-08-2000,8.2786
01-09-2000,8.2787
04-09-2000,8.2786
05-09-2000,8.279
06-09-2000,8.2794
07-09-2000,8.279
08-09-2000,8.2794
11-09-2000,8.2786
12-09-2000,8.2787
13-09-2000,8.2777
14-09-2000,8.2773
15-09-2000,8.2771
18-09-2000,8.2772
19-09-2000,8.2779
20-09-2000,8.2775
21-09-2000,8.2778
22-09-2000,8.2787
25-09-2000,8.2793
26-09-2000,8.2791
27-09-2000,8.2795
28-09-2000,8.2799
29-09-2000,8.2798
02-10-2000,8.279
03-10-2000,8.279
04-10-2000,8.279
05-10-2000,8.279
06-10-2000,8.279
09-10-2000,8.279
10-10-2000,8.2789
11-10-2000,8.2786
12-10-2000,8.2786
13-10-2000,8.2784
16-10-2000,8.2781
17-10-2000,8.2784
18-10-2000,8.2781
19-10-2000,8.278
20-10-2000,8.2778
23-10-2000,8.2784
24-10-2000,8.2784
25-10-2000,8.2782
26-10-2000,8.2785
27-10-2000,8.2788
30-10-2000,8.278
31-10-2000,8.2775
01-11-2000,8.2773
02-11-2000,8.277
03-11-2000,8.2768
06-11-2000,8.2771
07-11-2000,8.2769
08-11-2000,8.2772
09-11-2000,8.2768
10-11-2000,8.2772
13-11-2000,8.2768
14-11-2000,8.2773
15-11-2000,8.2768
16-11-2000,8.2773
17-11-2000,8.2769
20-11-2000,8.2779
21-11-2000,8.2786
22-11-2000,8.2782
23-11-2000,8.278
24-11-2000,8.2779
27-11-2000,8.278
28-11-2000,8.2777
29-11-2000,8.2774
30-11-2000,8.2777
01-12-2000,8.2775
04-12-2000,8.2771
05-12-2000,8.277
06-12-2000,8.277
07-12-2000,8.277
08-12-2000,8.2769
11-12-2000,8.2773
12-12-2000,8.2771
13-12-2000,8.277
14-12-2000,8.2768
15-12-2000,8.2768
18-12-2000,8.2774
19-12-2000,8.2772
20-12-2000,8.2769
21-12-2000,8.2768
22-12-2000,8.2777
25-12-2000,8.277
26-12-2000,8.2769
27-12-2000,8.277
28-12-2000,8.2781
29-12-2000,8.2774
01-01-2001,8.2781
02-01-2001,8.2779
03-01-2001,8.2773
04-01-2001,8.2781
05-01-2001,8.2775
08-01-2001,8.2778
09-01-2001,8.2771
10-01-2001,8.2769
11-01-2001,8.2767
12-01-2001,8.2768
15-01-2001,8.2767
16-01-2001,8.2766
17-01-2001,8.2764
18-01-2001,8.2764
19-01-2001,8.2764
22-01-2001,8.2782
23-01-2001,8.2786
24-01-2001,8.2786
25-01-2001,8.2786
26-01-2001,8.2786
29-01-2001,8.2786
30-01-2001,8.2786
31-01-2001,8.2781
01-02-2001,8.2772
02-02-2001,8.2774
05-02-2001,8.277
06-02-2001,8.2766
07-02-2001,8.2765
08-02-2001,8.2763
09-02-2001,8.2764
12-02-2001,8.2774
13-02-2001,8.2765
14-02-2001,8.2764
15-02-2001,8.2772
16-02-2001,8.277
19-02-2001,8.2766
20-02-2001,8.2767
21-02-2001,8.2772
22-02-2001,8.2769
23-02-2001,8.2774
26-02-2001,8.2776
27-02-2001,8.2781
28-02-2001,8.2783
01-03-2001,8.2778
02-03-2001,8.2782
05-03-2001,8.2777
06-03-2001,8.2778
