Dates,GLD US Equity
18-11-2004,44.38
19-11-2004,44.78
22-11-2004,44.95
23-11-2004,44.75
24-11-2004,45.05
26-11-2004,45.29
29-11-2004,45.4
30-11-2004,45.12
01-12-2004,45.38
02-12-2004,44.95
03-12-2004,45.6
06-12-2004,45.17
07-12-2004,45.11
08-12-2004,44.01
09-12-2004,43.78
10-12-2004,43.44
13-12-2004,43.91
14-12-2004,43.55
15-12-2004,43.99
16-12-2004,43.68
17-12-2004,44.19
20-12-2004,44.34
21-12-2004,44.22
22-12-2004,44.02
23-12-2004,44.27
27-12-2004,44.48
28-12-2004,44.37
29-12-2004,43.66
30-12-2004,43.8
31-12-2004,43.8
03-01-2005,43.02
04-01-2005,42.74
05-01-2005,42.67
06-01-2005,42.16
07-01-2005,41.84
10-01-2005,41.95
11-01-2005,42.21
12-01-2005,42.6
13-01-2005,42.6
14-01-2005,42.32
18-01-2005,42.32
19-01-2005,42.26
20-01-2005,42.25
21-01-2005,42.74
24-01-2005,42.77
25-01-2005,42.24
26-01-2005,42.69
27-01-2005,42.62
28-01-2005,42.69
31-01-2005,42.22
01-02-2005,42.1
02-02-2005,42.16
03-02-2005,41.68
04-02-2005,41.47
07-02-2005,41.27
08-02-2005,41.26
09-02-2005,41.31
10-02-2005,41.75
11-02-2005,42.08
14-02-2005,42.55
15-02-2005,42.58
16-02-2005,42.52
17-02-2005,42.73
18-02-2005,42.75
22-02-2005,43.57
23-02-2005,43.42
24-02-2005,43.33
25-02-2005,43.5
28-02-2005,43.52
01-03-2005,43.22
02-03-2005,43.25
03-03-2005,42.97
04-03-2005,43.38
07-03-2005,43.47
08-03-2005,44.03
09-03-2005,44.02
10-03-2005,44.2
11-03-2005,44.43
14-03-2005,44.03
15-03-2005,44.06
16-03-2005,44.31
17-03-2005,43.82
18-03-2005,43.89
21-03-2005,43.09
22-03-2005,42.65
23-03-2005,42.42
24-03-2005,42.39
28-03-2005,42.54
29-03-2005,42.56
30-03-2005,42.61
31-03-2005,42.82
01-04-2005,42.62
04-04-2005,42.4
05-04-2005,42.45
06-04-2005,42.63
07-04-2005,42.57
08-04-2005,42.69
11-04-2005,42.78
12-04-2005,42.84
13-04-2005,42.9
14-04-2005,42.31
15-04-2005,42.4
18-04-2005,42.69
19-04-2005,43.28
20-04-2005,43.4
21-04-2005,43.19
22-04-2005,43.39
25-04-2005,43.44
26-04-2005,43.64
27-04-2005,43.2
28-04-2005,43
29-04-2005,43.35
02-05-2005,42.88
03-05-2005,42.76
04-05-2005,42.9
05-05-2005,42.91
06-05-2005,42.52
09-05-2005,42.55
10-05-2005,42.64
11-05-2005,42.69
12-05-2005,42.16
13-05-2005,41.95
16-05-2005,41.88
17-05-2005,41.86
18-05-2005,42.05
19-05-2005,41.98
20-05-2005,41.65
23-05-2005,41.62
24-05-2005,41.73
25-05-2005,41.87
26-05-2005,41.69
27-05-2005,41.88
31-05-2005,41.65
01-06-2005,41.53
02-06-2005,42.1
03-06-2005,42.17
06-06-2005,42.48
07-06-2005,42.38
08-06-2005,42.34
09-06-2005,42.27
10-06-2005,42.62
13-06-2005,42.78
14-06-2005,42.6
15-06-2005,42.74
16-06-2005,43.46
17-06-2005,43.63
20-06-2005,43.66
21-06-2005,43.81
22-06-2005,43.72
23-06-2005,44.02
24-06-2005,43.9
27-06-2005,43.91
28-06-2005,43.45
29-06-2005,43.63
30-06-2005,43.44
01-07-2005,42.7
05-07-2005,42.28
06-07-2005,42.25
07-07-2005,42.36
08-07-2005,42.26
11-07-2005,42.54
12-07-2005,42.64
13-07-2005,42.35
14-07-2005,41.9
15-07-2005,42.05
18-07-2005,42.01
19-07-2005,41.89
20-07-2005,42.2
21-07-2005,42.46
22-07-2005,42.45
25-07-2005,42.51
26-07-2005,42.25
27-07-2005,42.44
28-07-2005,42.75
29-07-2005,42.82
01-08-2005,43.13
02-08-2005,43.14
03-08-2005,43.53
04-08-2005,43.68
05-08-2005,43.6
08-08-2005,43.35
09-08-2005,43.34
10-08-2005,43.65
11-08-2005,44.45
12-08-2005,44.49
15-08-2005,44.13
16-08-2005,44.55
17-08-2005,43.91
18-08-2005,43.83
19-08-2005,43.6
22-08-2005,43.7
23-08-2005,43.76
24-08-2005,43.59
25-08-2005,43.73
26-08-2005,43.61
29-08-2005,43.57
30-08-2005,43.01
31-08-2005,43.4
01-09-2005,44.22
02-09-2005,44.25
06-09-2005,44.27
07-09-2005,44.33
08-09-2005,44.6
09-09-2005,44.84
12-09-2005,44.89
13-09-2005,44.56
14-09-2005,44.96
15-09-2005,45.42
16-09-2005,45.82
19-09-2005,46.25
20-09-2005,46.23
21-09-2005,47.06
22-09-2005,46.36
23-09-2005,46.28
26-09-2005,46.57
27-09-2005,46.25
28-09-2005,46.8
29-09-2005,47.1
30-09-2005,46.7
03-10-2005,46.42
04-10-2005,46.45
05-10-2005,46.36
06-10-2005,47.21
07-10-2005,47.36
10-10-2005,47.37
11-10-2005,47.39
12-10-2005,46.85
13-10-2005,47.02
14-10-2005,46.8
17-10-2005,47.26
18-10-2005,47
19-10-2005,46.34
20-10-2005,45.98
21-10-2005,46.52
24-10-2005,46.39
25-10-2005,47.06
26-10-2005,46.93
27-10-2005,47.18
28-10-2005,47.22
31-10-2005,46.4
01-11-2005,45.73
02-11-2005,46.13
03-11-2005,45.96
04-11-2005,45.51
07-11-2005,45.77
08-11-2005,45.91
09-11-2005,46.56
10-11-2005,46.48
11-11-2005,46.8
14-11-2005,46.62
15-11-2005,46.66
16-11-2005,47.78
17-11-2005,48.48
18-11-2005,48.46
21-11-2005,48.99
22-11-2005,49.32
23-11-2005,49.15
25-11-2005,49.42
28-11-2005,49.74
29-11-2005,49.8
30-11-2005,49.1
01-12-2005,50.17
02-12-2005,50.32
05-12-2005,50.78
06-12-2005,50.89
07-12-2005,51.32
08-12-2005,51.9
09-12-2005,52.4
12-12-2005,52.56
13-12-2005,51.65
14-12-2005,50.35
15-12-2005,50.24
16-12-2005,50.09
19-12-2005,50.22
20-12-2005,49.04
21-12-2005,49.37
22-12-2005,50.14
23-12-2005,50.12
27-12-2005,50.64
28-12-2005,51.47
29-12-2005,51.47
30-12-2005,51.58
03-01-2006,53.12
04-01-2006,53.3
05-01-2006,52.34
06-01-2006,53.72
09-01-2006,54.6
10-01-2006,54.06
11-01-2006,54.53
12-01-2006,54.43
13-01-2006,55.44
17-01-2006,55.26
18-01-2006,54.07
19-01-2006,55.59
20-01-2006,55.2
23-01-2006,55.77
24-01-2006,55.73
25-01-2006,56.14
26-01-2006,55.88
27-01-2006,55.63
30-01-2006,56.68
31-01-2006,56.7
01-02-2006,56.7
02-02-2006,56.98
03-02-2006,56.5
06-02-2006,56.72
07-02-2006,54.6
08-02-2006,54.83
09-02-2006,56.18
10-02-2006,54.79
13-02-2006,53.72
14-02-2006,54.49
15-02-2006,53.76
16-02-2006,54.52
17-02-2006,54.96
21-02-2006,55.12
22-02-2006,55.34
23-02-2006,54.64
24-02-2006,55.64
27-02-2006,55.22
28-02-2006,56.07
01-03-2006,56.1
02-03-2006,56.74
03-03-2006,56.28
06-03-2006,55.23
07-03-2006,54.95
08-03-2006,53.97
09-03-2006,54.24
10-03-2006,53.83
13-03-2006,54.31
14-03-2006,54.87
15-03-2006,55.12
16-03-2006,55.34
17-03-2006,55.12
20-03-2006,55.17
21-03-2006,54.83
22-03-2006,54.75
23-03-2006,54.7
24-03-2006,55.71
27-03-2006,56.39
28-03-2006,56.06
29-03-2006,57.07
30-03-2006,58.6
31-03-2006,58.1
03-04-2006,58.47
04-04-2006,58.33
05-04-2006,58.66
06-04-2006,59.28
07-04-2006,58.59
10-04-2006,59.6
11-04-2006,59.01
12-04-2006,59.43
13-04-2006,59.5
17-04-2006,61.09
18-04-2006,61.85
19-04-2006,63.75
20-04-2006,60.96
21-04-2006,63.2
24-04-2006,61.65
25-04-2006,62.78
26-04-2006,63.65
27-04-2006,62.96
28-04-2006,65.09
01-05-2006,65.16
02-05-2006,66.55
03-05-2006,66.46
04-05-2006,67.48
05-05-2006,67.99
08-05-2006,67.56
09-05-2006,69.68
10-05-2006,70.38
11-05-2006,71.03
12-05-2006,71.12
15-05-2006,67.41
16-05-2006,68.61
17-05-2006,68.15
18-05-2006,67.46
19-05-2006,65.58
22-05-2006,65.3
