Dates,5Y USD Zero Coupon Breakeven Rate
11-01-2002,1.0088
14-01-2002,1.0309
15-01-2002,1.0302
16-01-2002,0.9919
17-01-2002,1.0477
18-01-2002,1.0369
21-01-2002,1.0507
22-01-2002,1.0982
23-01-2002,1.1961
24-01-2002,1.2187
25-01-2002,1.264
28-01-2002,1.2585
29-01-2002,1.1284
30-01-2002,1.2592
31-01-2002,1.2972
01-02-2002,1.2821
04-02-2002,1.2449
05-02-2002,1.2412
06-02-2002,1.2495
07-02-2002,1.2267
08-02-2002,1.19
11-02-2002,1.2203
12-02-2002,1.2922
13-02-2002,1.3289
14-02-2002,1.3329
15-02-2002,1.3211
18-02-2002,1.335
19-02-2002,1.3567
20-02-2002,1.3825
21-02-2002,1.3383
22-02-2002,1.3212
25-02-2002,1.3756
26-02-2002,1.4238
27-02-2002,1.3218
28-02-2002,1.3964
01-03-2002,1.509
04-03-2002,1.515
05-03-2002,1.4778
06-03-2002,1.5344
07-03-2002,1.6723
08-03-2002,1.7502
11-03-2002,1.7459
12-03-2002,1.7206
13-03-2002,1.6635
14-03-2002,1.8051
15-03-2002,1.7396
18-03-2002,1.7219
19-03-2002,1.6925
20-03-2002,1.8051
21-03-2002,1.7774
22-03-2002,1.8415
25-03-2002,1.8581
26-03-2002,1.8198
27-03-2002,1.8402
28-03-2002,1.9296
29-03-2002,1.8872
01-04-2002,1.9158
02-04-2002,1.8958
03-04-2002,1.8595
04-04-2002,1.9154
05-04-2002,1.8864
08-04-2002,1.9373
09-04-2002,1.858
10-04-2002,1.8716
11-04-2002,1.8759
12-04-2002,1.8296
15-04-2002,1.8664
16-04-2002,1.9009
17-04-2002,1.9309
18-04-2002,1.9524
19-04-2002,1.987
22-04-2002,1.9797
23-04-2002,1.964
24-04-2002,1.891
25-04-2002,1.9
26-04-2002,1.8487
29-04-2002,1.9271
30-04-2002,1.879
01-05-2002,1.9004
02-05-2002,1.8978
03-05-2002,1.8741
06-05-2002,1.8794
07-05-2002,1.8516
08-05-2002,2.0749
