Dates,Treasury Inflation-Protected Securities yield
03-01-2000,6.502
04-01-2000,6.398
05-01-2000,6.483
06-01-2000,6.418
07-01-2000,6.411
10-01-2000,6.461
11-01-2000,6.554
12-01-2000,6.605
13-01-2000,6.528
14-01-2000,6.576
17-01-2000,6.576
18-01-2000,6.623
19-01-2000,6.604
20-01-2000,6.663
21-01-2000,6.632
24-01-2000,6.558
25-01-2000,6.586
26-01-2000,6.586
27-01-2000,6.669
28-01-2000,6.662
31-01-2000,6.683
01-02-2000,6.671
02-02-2000,6.66
03-02-2000,6.507
04-02-2000,6.653
07-02-2000,6.737
08-02-2000,6.733
09-02-2000,6.718
10-02-2000,6.774
11-02-2000,6.704
14-02-2000,6.676
15-02-2000,6.701
16-02-2000,6.697
17-02-2000,6.741
18-02-2000,6.683
21-02-2000,6.68
22-02-2000,6.565
23-02-2000,6.632
24-02-2000,6.553
25-02-2000,6.467
28-02-2000,6.582
29-02-2000,6.595
01-03-2000,6.571
02-03-2000,6.583
03-03-2000,6.593
06-03-2000,6.625
07-03-2000,6.569
08-03-2000,6.578
09-03-2000,6.546
10-03-2000,6.595
13-03-2000,6.564
14-03-2000,6.492
15-03-2000,6.496
16-03-2000,6.457
17-03-2000,6.446
20-03-2000,6.45
21-03-2000,6.426
22-03-2000,6.391
23-03-2000,6.383
24-03-2000,6.5
27-03-2000,6.504
28-03-2000,6.445
29-03-2000,6.437
30-03-2000,6.337
31-03-2000,6.314
03-04-2000,6.262
04-04-2000,6.143
05-04-2000,6.131
06-04-2000,6.227
07-04-2000,6.18
10-04-2000,6.065
11-04-2000,6.172
12-04-2000,6.216
13-04-2000,6.193
14-04-2000,6.109
17-04-2000,6.266
18-04-2000,6.278
19-04-2000,6.23
20-04-2000,6.235
21-04-2000,6.239
24-04-2000,6.26
25-04-2000,6.373
26-04-2000,6.385
27-04-2000,6.516
28-04-2000,6.538
01-05-2000,6.587
02-05-2000,6.584
03-05-2000,6.663
04-05-2000,6.68
05-05-2000,6.764
08-05-2000,6.81
09-05-2000,6.79
10-05-2000,6.65
11-05-2000,6.655
12-05-2000,6.767
15-05-2000,6.707
16-05-2000,6.718
17-05-2000,6.752
18-05-2000,6.763
19-05-2000,6.703
22-05-2000,6.658
23-05-2000,6.658
24-05-2000,6.706
25-05-2000,6.628
26-05-2000,6.571
29-05-2000,6.568
30-05-2000,6.616
31-05-2000,6.519
01-06-2000,6.43
02-06-2000,6.374
05-06-2000,6.336
06-06-2000,6.332
07-06-2000,6.362
08-06-2000,6.362
09-06-2000,6.361
12-06-2000,6.309
13-06-2000,6.323
14-06-2000,6.245
15-06-2000,6.26
16-06-2000,6.178
19-06-2000,6.203
20-06-2000,6.221
21-06-2000,6.314
22-06-2000,6.302
23-06-2000,6.369
26-06-2000,6.272
27-06-2000,6.271
28-06-2000,6.26
29-06-2000,6.193
30-06-2000,6.185
03-07-2000,6.121
05-07-2000,6.113
06-07-2000,6.157
07-07-2000,6.097
10-07-2000,6.126
11-07-2000,6.145
12-07-2000,6.185
13-07-2000,6.133
14-07-2000,6.24
17-07-2000,6.289
18-07-2000,6.285
19-07-2000,6.3
20-07-2000,6.134
21-07-2000,6.13
24-07-2000,6.167
25-07-2000,6.155
26-07-2000,6.147
27-07-2000,6.125
28-07-2000,6.143
31-07-2000,6.146
01-08-2000,6.093
02-08-2000,6.082
03-08-2000,6.07
04-08-2000,6.013
07-08-2000,6.061
08-08-2000,6.019
09-08-2000,6.023
10-08-2000,5.992
11-08-2000,6.059
14-08-2000,6.059
15-08-2000,6.096
16-08-2000,6.134
17-08-2000,6.122
18-08-2000,6.083
21-08-2000,6.087
22-08-2000,6.071
23-08-2000,6.007
24-08-2000,5.999
25-08-2000,6.005
28-08-2000,6.043
29-08-2000,6.069
30-08-2000,6.061
31-08-2000,5.973
01-09-2000,5.9
04-09-2000,5.9
05-09-2000,5.907
06-09-2000,5.933
07-09-2000,5.956
08-09-2000,5.932
11-09-2000,5.965
12-09-2000,5.961
13-09-2000,5.915
14-09-2000,5.934
15-09-2000,5.91
18-09-2000,5.902
19-09-2000,5.917
20-09-2000,5.951
21-09-2000,5.874
22-09-2000,5.926
25-09-2000,5.922
26-09-2000,5.872
27-09-2000,5.872
28-09-2000,5.863
29-09-2000,5.851
02-10-2000,5.835
03-10-2000,5.877
04-10-2000,5.907
05-10-2000,5.88
06-10-2000,5.898
09-10-2000,5.862
10-10-2000,5.812
11-10-2000,5.8
12-10-2000,5.685
13-10-2000,5.718
16-10-2000,5.741
17-10-2000,5.675
18-10-2000,5.659
19-10-2000,5.67
20-10-2000,5.669
23-10-2000,5.634
24-10-2000,5.656
25-10-2000,5.733
26-10-2000,5.755
27-10-2000,5.785
30-10-2000,5.815
31-10-2000,5.807
01-11-2000,5.78
02-11-2000,5.771
03-11-2000,5.856
06-11-2000,5.887
07-11-2000,5.898
08-11-2000,5.814
09-11-2000,5.781
10-11-2000,5.734
13-11-2000,5.708
14-11-2000,5.716
15-11-2000,5.69
16-11-2000,5.639
17-11-2000,5.675
20-11-2000,5.65
21-11-2000,5.631
22-11-2000,5.602
23-11-2000,5.576
24-11-2000,5.613
27-11-2000,5.613
28-11-2000,5.554
29-11-2000,5.471
30-11-2000,5.427
01-12-2000,5.445
04-12-2000,5.467
05-12-2000,5.336
06-12-2000,5.257
07-12-2000,5.257
08-12-2000,5.256
11-12-2000,5.331
12-12-2000,5.317
13-12-2000,5.216
14-12-2000,5.172
15-12-2000,5.139
18-12-2000,5.096
19-12-2000,5.113
20-12-2000,4.97
21-12-2000,4.937
22-12-2000,4.896
25-12-2000,4.896
26-12-2000,4.935
27-12-2000,4.988
28-12-2000,5.02
29-12-2000,4.976
01-01-2001,4.979
02-01-2001,4.754
03-01-2001,4.96
04-01-2001,4.835
05-01-2001,4.656
08-01-2001,4.666
09-01-2001,4.733
10-01-2001,4.832
11-01-2001,4.799
