Dates,USD Zero Coupon Inflation Swap 5Y
21-07-2004,2.73
22-07-2004,2.7
23-07-2004,2.74
26-07-2004,2.71
27-07-2004,2.73
28-07-2004,2.75
29-07-2004,2.77
30-07-2004,2.75
02-08-2004,2.75
03-08-2004,2.76
04-08-2004,2.71
05-08-2004,2.73
06-08-2004,2.73
09-08-2004,2.65
10-08-2004,2.66
11-08-2004,2.66
12-08-2004,2.7
13-08-2004,2.69
16-08-2004,2.72
17-08-2004,2.66
18-08-2004,2.62
19-08-2004,2.65
20-08-2004,2.685
23-08-2004,2.68
24-08-2004,2.645
25-08-2004,2.605
26-08-2004,2.585
27-08-2004,2.63
31-08-2004,2.63
01-09-2004,2.6
02-09-2004,2.64
03-09-2004,2.685
06-09-2004,2.675
07-09-2004,2.67
08-09-2004,2.655
09-09-2004,2.62
10-09-2004,2.605
13-09-2004,2.59
14-09-2004,2.555
15-09-2004,2.54
16-09-2004,2.54
05-11-2004,2.865
08-11-2004,2.905
09-11-2004,2.885
10-11-2004,2.82
11-11-2004,2.81
12-11-2004,2.825
15-11-2004,2.85
16-11-2004,2.905
17-11-2004,2.91
18-11-2004,2.9
19-11-2004,2.925
22-11-2004,2.885
23-11-2004,2.89
24-11-2004,2.89
25-11-2004,2.89
26-11-2004,2.89
29-11-2004,2.89
30-11-2004,2.89
01-12-2004,2.98
02-12-2004,2.985
03-12-2004,2.905
06-12-2004,2.855
07-12-2004,2.87
08-12-2004,2.855
09-12-2004,2.855
10-12-2004,2.84
13-12-2004,2.84
14-12-2004,2.84
15-12-2004,2.835
16-12-2004,2.845
22-12-2004,2.91
23-12-2004,2.905
24-12-2004,2.91
27-12-2004,2.91
28-12-2004,2.91
29-12-2004,2.9
30-12-2004,2.91
04-01-2005,2.82
05-01-2005,2.855
06-01-2005,2.795
07-01-2005,2.825
10-01-2005,2.82
11-01-2005,2.835
12-01-2005,2.8
13-01-2005,2.825
14-01-2005,2.795
17-01-2005,2.79
19-01-2005,2.765
20-01-2005,2.725
21-01-2005,2.745
24-01-2005,2.745
25-01-2005,2.71
26-01-2005,2.775
27-01-2005,2.795
28-01-2005,2.765
31-01-2005,2.785
01-02-2005,2.775
02-02-2005,2.735
03-02-2005,2.765
04-02-2005,2.755
07-02-2005,2.76
08-02-2005,2.77
09-02-2005,2.825
10-02-2005,2.855
11-02-2005,2.855
15-02-2005,2.85
16-02-2005,2.85
17-02-2005,2.85
18-02-2005,2.905
21-02-2005,2.91
22-02-2005,2.91
23-02-2005,2.91
24-02-2005,2.91
25-02-2005,2.91
28-02-2005,2.985
01-03-2005,3.025
02-03-2005,3.055
03-03-2005,3.05
04-03-2005,3.025
07-03-2005,3.025
08-03-2005,3.045
09-03-2005,3.095
10-03-2005,3.085
11-03-2005,3.065
14-03-2005,3.06
15-03-2005,3.13
16-03-2005,3.13
17-03-2005,3.095
18-03-2005,3.09
23-03-2005,3.08
29-03-2005,3.055
30-03-2005,3.06
31-03-2005,3.06
01-04-2005,3.075
04-04-2005,3.055
05-04-2005,3.05
06-04-2005,3.05
07-04-2005,2.975
08-04-2005,2.995
11-04-2005,3.015
12-04-2005,3.02
13-04-2005,2.98
14-04-2005,2.955
15-04-2005,2.98
18-04-2005,2.965
19-04-2005,2.985
20-04-2005,3
21-04-2005,3.025
22-04-2005,3.075
25-04-2005,3.11
26-04-2005,3.035
27-04-2005,2.98
28-04-2005,2.96
29-04-2005,2.98
03-05-2005,2.955
04-05-2005,2.94
05-05-2005,2.93
06-05-2005,2.94
09-05-2005,2.94
10-05-2005,2.935
11-05-2005,2.895
12-05-2005,2.875
13-05-2005,2.87
16-05-2005,2.815
17-05-2005,2.835
18-05-2005,2.8
19-05-2005,2.75
20-05-2005,2.825
23-05-2005,2.825
24-05-2005,2.795
25-05-2005,2.785
26-05-2005,2.805
31-05-2005,2.77
01-06-2005,2.7
03-06-2005,2.69
06-06-2005,2.735
07-06-2005,2.685
08-06-2005,2.655
09-06-2005,2.66
10-06-2005,2.66
13-06-2005,2.64
14-06-2005,2.645
15-06-2005,2.595
16-06-2005,2.68
17-06-2005,2.67
20-06-2005,2.665
21-06-2005,2.685
22-06-2005,2.645
23-06-2005,2.615
24-06-2005,2.585
27-06-2005,2.595
28-06-2005,2.61
29-06-2005,2.625
30-06-2005,2.595
01-07-2005,2.615
05-07-2005,2.625
06-07-2005,2.64
07-07-2005,2.62
08-07-2005,2.645
11-07-2005,2.645
12-07-2005,2.62
13-07-2005,2.67
14-07-2005,2.605
15-07-2005,2.55
19-07-2005,2.555
20-07-2005,2.585
21-07-2005,2.6
22-07-2005,2.64
25-07-2005,2.635
26-07-2005,2.595
27-07-2005,2.645
28-07-2005,2.6
29-07-2005,2.61
01-08-2005,2.685
02-08-2005,2.655
03-08-2005,2.675
04-08-2005,2.685
05-08-2005,2.71
08-08-2005,2.725
09-08-2005,2.715
10-08-2005,2.705
11-08-2005,2.705
12-08-2005,2.745
15-08-2005,2.725
16-08-2005,2.765
17-08-2005,2.74
18-08-2005,2.74
19-08-2005,2.735
22-08-2005,2.73
23-08-2005,2.735
24-08-2005,2.765
25-08-2005,2.74
26-08-2005,2.74
01-09-2005,2.8275
02-09-2005,2.8125
05-09-2005,2.815
06-09-2005,2.7625
07-09-2005,2.79
08-09-2005,2.8325
09-09-2005,2.885
12-09-2005,2.89
13-09-2005,2.895
14-09-2005,2.8475
15-09-2005,2.88
16-09-2005,2.925
19-09-2005,2.9475
20-09-2005,2.88
21-09-2005,2.86
22-09-2005,2.8475
23-09-2005,2.94
26-09-2005,2.905
27-09-2005,2.9075
28-09-2005,2.915
29-09-2005,2.9475
30-09-2005,2.9725
03-10-2005,2.9425
04-10-2005,2.9075
05-10-2005,2.8875
06-10-2005,2.8975
07-10-2005,2.8775
10-10-2005,2.84
11-10-2005,2.875
12-10-2005,2.8525
13-10-2005,2.875
14-10-2005,2.9525
17-10-2005,2.9725
18-10-2005,2.9575
19-10-2005,2.94
20-10-2005,2.8975
21-10-2005,2.8825
24-10-2005,2.9125
25-10-2005,2.9013
26-10-2005,2.8825
27-10-2005,2.9164
28-10-2005,2.9249
31-10-2005,2.9075
01-11-2005,2.9225
02-11-2005,2.9225
03-11-2005,2.9825
04-11-2005,2.975
07-11-2005,2.9325
08-11-2005,2.8175
09-11-2005,2.865
10-11-2005,2.795
11-11-2005,2.77
14-11-2005,2.7225
15-11-2005,2.645
16-11-2005,2.6525
17-11-2005,2.7525
18-11-2005,2.63
21-11-2005,2.7175
22-11-2005,2.74
23-11-2005,2.6978
24-11-2005,2.7
25-11-2005,2.6925
28-11-2005,2.6675
29-11-2005,2.6777
30-11-2005,2.6675
01-12-2005,2.6825
02-12-2005,2.685
05-12-2005,2.745
06-12-2005,2.6925
07-12-2005,2.65
08-12-2005,2.6275
09-12-2005,2.6875
12-12-2005,2.695
13-12-2005,2.6675
14-12-2005,2.6475
15-12-2005,2.6275
16-12-2005,2.5275
19-12-2005,2.59
20-12-2005,2.6075
21-12-2005,2.635
22-12-2005,2.56
23-12-2005,2.56
26-12-2005,2.595
27-12-2005,2.575
28-12-2005,2.5825
29-12-2005,2.5925
30-12-2005,2.605
02-01-2006,2.605
03-01-2006,2.625
04-01-2006,2.63
05-01-2006,2.5925
06-01-2006,2.645
09-01-2006,2.66
10-01-2006,2.6675
11-01-2006,2.6671
12-01-2006,2.6525
13-01-2006,2.675
16-01-2006,2.6725
17-01-2006,2.6975
18-01-2006,2.67
19-01-2006,2.7125
20-01-2006,2.7225
23-01-2006,2.7225
24-01-2006,2.7125
25-01-2006,2.6975
26-01-2006,2.765
27-01-2006,2.805
30-01-2006,2.7925
31-01-2006,2.8175
01-02-2006,2.83
02-02-2006,2.8075
03-02-2006,2.8025
06-02-2006,2.8275
07-02-2006,2.78
08-02-2006,2.7875
09-02-2006,2.8075
10-02-2006,2.865
13-02-2006,2.7375
14-02-2006,2.7325
15-02-2006,2.7725
16-02-2006,2.7925
17-02-2006,2.795
20-02-2006,2.805
21-02-2006,2.855
22-02-2006,2.8125
23-02-2006,2.855
24-02-2006,2.895
27-02-2006,2.8525
28-02-2006,2.8125
01-03-2006,2.8825
02-03-2006,2.9375
03-03-2006,2.9481
06-03-2006,2.9275
07-03-2006,2.905
08-03-2006,2.8375
09-03-2006,2.8091
10-03-2006,2.815
13-03-2006,2.87
14-03-2006,2.805
15-03-2006,2.815
16-03-2006,2.81
17-03-2006,2.87
20-03-2006,2.795
