Dates,EURUSD3M (Quoted in points),EURUSD1M (Quoted in points),EURUSD6M (Quoted in points)
03-01-2000,67.5,23.85,131.75
04-01-2000,69.7,23.15,137.25
05-01-2000,69.8,24,136.65
06-01-2000,69.5,23.73,136.75
07-01-2000,69.88,23.38,136.75
10-01-2000,69.93,24.13,137.5
11-01-2000,70.1,23.33,138.38
12-01-2000,69.98,23.35,137.5
13-01-2000,69.55,23.38,136.75
14-01-2000,69.5,23.35,137
17-01-2000,68.85,24.75,135.75
18-01-2000,71.85,24.25,135.95
19-01-2000,69.65,22.95,135.7
20-01-2000,68.75,23.35,135.75
21-01-2000,68.5,23.3,135.35
24-01-2000,67.5,24.6,132.8
25-01-2000,67.5,24.5,133
26-01-2000,63.75,21.25,129.7
27-01-2000,61.3,20.35,125
28-01-2000,63,20.45,126.75
31-01-2000,62.35,20.43,127.35
01-02-2000,63.15,21.33,128
02-02-2000,63.5,20.25,128.2
03-02-2000,63.2,20.25,129.75
04-02-2000,63.2,20.03,129.25
07-02-2000,62.85,19.88,128.85
08-02-2000,63.35,21.45,129.15
09-02-2000,63.5,21.05,129.75
10-02-2000,63,20.05,128.25
11-02-2000,62.8,20.05,128.3
14-02-2000,62,19.95,127.25
15-02-2000,62.5,21.25,126.9
16-02-2000,62.45,19.75,127.5
17-02-2000,62.65,19.8,127.9
18-02-2000,61.05,19.1,125.2
21-02-2000,60.25,19.5,125.05
22-02-2000,61,20.75,125.75
23-02-2000,61.8,19.05,125.25
24-02-2000,62.1,19.7,124.05
25-02-2000,60.7,20.4,122.25
28-02-2000,60.5,20.85,124.75
29-02-2000,60.25,20.25,124
01-03-2000,60.5,20.43,122.75
02-03-2000,60.25,20.55,121.75
03-03-2000,60.15,20.6,119.35
06-03-2000,59.75,21.25,121.25
07-03-2000,60.55,20.45,118.75
08-03-2000,59.95,20.25,118.1
09-03-2000,59,20.05,118.25
10-03-2000,58.35,19.9,117.05
13-03-2000,57.8,20.25,116.85
14-03-2000,59.5,19.75,116.75
15-03-2000,58.3,19.9,117.1
16-03-2000,60,23.15,119.75
17-03-2000,60.45,23.4,120.8
20-03-2000,61,22.35,123.25
21-03-2000,60.85,21.75,122.6
22-03-2000,60,20.25,120.25
23-03-2000,60.55,20.8,121.8
24-03-2000,60.85,20.75,123.65
27-03-2000,60.65,19.75,123.05
28-03-2000,59.8,18.45,121.75
29-03-2000,58.45,17.95,119.5
30-03-2000,60,19.45,121.75
31-03-2000,59.65,19.5,121.1
03-04-2000,59.15,19.25,121.5
04-04-2000,58.95,20.65,120.5
05-04-2000,59.25,19.95,122.8
06-04-2000,58.55,19.2,120.3
07-04-2000,57.55,18.83,118.95
10-04-2000,57.65,18.65,117.9
11-04-2000,57.05,19.7,116.8
12-04-2000,56.9,19,117.3
13-04-2000,57.15,18.65,116.2
14-04-2000,57.75,18.85,116.95
17-04-2000,57.2,18.55,116.45
18-04-2000,56.15,19.25,114.1
19-04-2000,55.45,17.95,112.8
20-04-2000,54.95,17.65,111.5
21-04-2000,55.05,17.7,111.4
24-04-2000,55.15,17.65,111.6
25-04-2000,54.55,18.9,110.95
26-04-2000,56.75,19.43,113.9
27-04-2000,56.05,19.53,113.1
28-04-2000,56.85,19.9,115.4
01-05-2000,56.95,18.75,118.25
02-05-2000,57.25,18.35,114.25
03-05-2000,56.45,18.15,111.75
04-05-2000,53.75,17.8,108.7
05-05-2000,54.35,18.05,111.2
08-05-2000,54.85,18.65,111.7
09-05-2000,55.35,19.05,115.1
10-05-2000,56.25,18.95,113.9
11-05-2000,55.55,18.9,111.1
12-05-2000,57.25,19.35,115.1
15-05-2000,56.75,19.75,116.75
16-05-2000,57.25,17.75,112.25
17-05-2000,54.25,17.9,108.75
18-05-2000,53.55,18.25,109.75
19-05-2000,53,18.5,107.65
22-05-2000,53.5,18.75,109.75
23-05-2000,54.25,19,111.5
24-05-2000,56.35,18.75,112.4
25-05-2000,55.95,18.95,113.25
26-05-2000,57.95,19.55,116.5
29-05-2000,57.45,18.85,114.6
30-05-2000,57.3,20.05,114.1
31-05-2000,56.8,18.48,115.55
01-06-2000,56.35,18.3,111.7
02-06-2000,56.55,18.4,112
05-06-2000,56.65,18.05,111.6
06-06-2000,58.65,19.95,111.25
07-06-2000,59.25,19.95,116.6
08-06-2000,55,17.85,107
09-06-2000,54.9,17.9,107.65
12-06-2000,55,17.64,107.75
13-06-2000,55.15,18.98,106.7
14-06-2000,56.2,18.5,108.45
15-06-2000,55.35,18.1,109.38
16-06-2000,55.7,18.28,109.35
19-06-2000,55.1,18.13,108.35
20-06-2000,55.75,18.45,109.25
21-06-2000,54.5,18.05,108
22-06-2000,52.95,17.25,104.25
23-06-2000,52.95,17.4,104
26-06-2000,52.9,18.5,103.9
27-06-2000,52.75,18.35,103.75
28-06-2000,53.15,17.85,103.5
29-06-2000,53.45,19.25,105
30-06-2000,53.5,19.58,104.5
03-07-2000,53.43,19.1,104.5
04-07-2000,52.9,19.5,103.5
05-07-2000,53.25,18.05,102.75
06-07-2000,52.75,18,102.25
07-07-2000,52.5,17.93,101
10-07-2000,52.5,18.85,100
11-07-2000,51.8,17.95,101.25
12-07-2000,51.6,17.73,100.55
13-07-2000,50.85,17.75,97.35
14-07-2000,50.58,17.53,96.5
17-07-2000,51,18.2,98.45
18-07-2000,50.35,17.25,95.15
19-07-2000,49.8,17.05,94.25
20-07-2000,49.3,17.3,93
21-07-2000,48.9,17.5,93.13
24-07-2000,48.75,18.03,93.25
25-07-2000,48.9,18.18,93.35
26-07-2000,50.2,17.7,93.55
27-07-2000,48.45,17.53,91.05
28-07-2000,48.4,17.4,91.1
31-07-2000,48.75,19.13,92.15
01-08-2000,47.9,18.15,91.95
02-08-2000,48,17.5,90.4
03-08-2000,46.85,16.5,88.3
04-08-2000,46.9,17,87.9
07-08-2000,46.83,16.85,88
08-08-2000,46.2,17.5,88.8
09-08-2000,46.95,16.75,86.75
10-08-2000,45.18,16.8,84.85
11-08-2000,43.05,15.4,81
14-08-2000,42.5,16.63,80.5
15-08-2000,42.25,16.08,81.35
16-08-2000,43,15.3,81.15
17-08-2000,42.55,15.35,80.75
18-08-2000,41.8,15.18,79.2
21-08-2000,40.95,15.28,77.6
22-08-2000,41.05,15.1,78.5
23-08-2000,42.1,14.95,78.6
24-08-2000,40.35,14.35,76.4
25-08-2000,39.15,13.45,74.15
28-08-2000,39.5,13,74
29-08-2000,39.55,13.95,74.75
30-08-2000,39.45,13.45,74.75
31-08-2000,40.05,14.05,74.9
01-09-2000,41.2,14.5,77.2
04-09-2000,41.25,15.78,76.5
05-09-2000,40.6,15,75.25
06-09-2000,38.8,13.65,71.8
07-09-2000,38.7,13.7,72.35
08-09-2000,38.4,13.45,71.6
11-09-2000,38.45,14.3,71.25
12-09-2000,38.75,14.15,72
13-09-2000,38.95,14.15,72
14-09-2000,39.35,13.5,74.15
15-09-2000,39.55,13.75,73.3
18-09-2000,38.75,14.3,71.45
19-09-2000,38.85,14.35,72.5
20-09-2000,39.05,13.25,72.25
21-09-2000,39.15,13.35,73.5
22-09-2000,39.8,13.65,74.55
25-09-2000,38.9,14.08,72.35
26-09-2000,38.3,14.15,72.85
27-09-2000,38.1,13.7,73.45
28-09-2000,39.25,13.6,73.25
29-09-2000,39.5,13.7,73.7
02-10-2000,39.8,14.05,73.75
03-10-2000,39.95,13.55,73.25
04-10-2000,39.05,13.45,72.75
05-10-2000,37.75,12.85,70.25
06-10-2000,38,12.5,70.75
09-10-2000,37.75,13.5,70.25
10-10-2000,38.45,13.6,71.5
11-10-2000,37.8,13.05,72
12-10-2000,37.2,13.1,69.45
13-10-2000,37.28,13,68
16-10-2000,36.3,13.1,66.75
17-10-2000,37.05,12.75,66.75
18-10-2000,35.3,12.7,64.75
19-10-2000,35.05,12.68,64.75
20-10-2000,34.6,12.05,63.4
23-10-2000,33.75,12.2,61.3
24-10-2000,34.05,11.85,61.75
25-10-2000,33.15,11.63,60.75
26-10-2000,33.25,11.23,60.75
27-10-2000,33.75,11.58,62.65
30-10-2000,33.5,12.25,63.3
31-10-2000,33.5,12.1,63
01-11-2000,35.08,11.98,64.5
02-11-2000,34.25,11.85,63.6
03-11-2000,34.7,11.7,64.95
06-11-2000,34.7,12.4,65.35
07-11-2000,35.5,12.2,65.25
08-11-2000,34.5,12.03,64.5
09-11-2000,34.35,11.55,65
10-11-2000,34.85,11.85,65.5
13-11-2000,34.9,12.6,64.75
14-11-2000,35.3,12.83,66.35
15-11-2000,34.5,12.4,66.55
16-11-2000,35.7,12.1,66.45
17-11-2000,35.45,11.9,66.45
20-11-2000,35.3,11.85,65.45
21-11-2000,35.3,12.5,64.65
22-11-2000,34.7,11.65,64.65
23-11-2000,34.6,11.68,63.85
24-11-2000,34.4,11.5,63.8
27-11-2000,34.35,11.85,64.9
28-11-2000,35,13.5,65.65
29-11-2000,34.85,13.18,66.35
30-11-2000,34.8,12.85,66.05
01-12-2000,35.5,13.18,67.55
04-12-2000,36.5,13.7,67.75
05-12-2000,35.45,13.13,65.95
06-12-2000,36.1,13.5,67.5
07-12-2000,35,13.1,64.5
08-12-2000,34.6,12.95,64.6
11-12-2000,34.3,13.45,64.45
12-12-2000,34.4,13.5,64.3
13-12-2000,34.48,13.5,64.5
14-12-2000,35.3,12.5,63.35
15-12-2000,34.8,13.5,64.5
18-12-2000,35,14.5,63.65
19-12-2000,34.8,13.1,63.25
20-12-2000,35.38,13.5,63.55
21-12-2000,35.2,14,61.75
22-12-2000,34.85,14.5,60.5
25-12-2000,35,14.5,61.5
26-12-2000,35.5,14.45,61.5
27-12-2000,34.3,13.2,60.25
28-12-2000,34.25,13.95,61
29-12-2000,34.5,14,61.55
01-01-2001,34.9,13.58,61.75
02-01-2001,33.9,13.33,60.45
03-01-2001,26.25,9.75,49.6
04-01-2001,24,9.6,43.75
05-01-2001,21.35,9.05,39.88
08-01-2001,20.5,8.85,37.6
09-01-2001,20.5,8.6,37.45
10-01-2001,20.4,8.15,36.95
11-01-2001,20.5,8.5,37.8
12-01-2001,21,8.5,39.5
15-01-2001,21.5,9.01,39.75
16-01-2001,21.55,8.5,39.5
17-01-2001,20.5,8.11,38.45
18-01-2001,18.75,7.5,34.4
19-01-2001,18.1,7.45,34.35
22-01-2001,18.3,7.41,33.25
23-01-2001,19.25,7.55,35.6
24-01-2001,18.35,6.75,33.75
25-01-2001,17.9,6.45,31.85
26-01-2001,16.5,5.9,29.5
29-01-2001,16,5.61,28.55
30-01-2001,15.4,5.61,28.45
31-01-2001,15.7,5.91,28.05
01-02-2001,15.2,5.5,26.3
02-02-2001,15,5.5,27.5
05-02-2001,15.5,5.78,27
06-02-2001,15.25,5.5,28.25
07-02-2001,14.8,5.61,26.75
08-02-2001,14.18,5.5,25.55
09-02-2001,14.3,5.6,25.4
12-02-2001,14.15,5.65,25.25
13-02-2001,14.4,5.61,26.25
14-02-2001,14.9,5.51,27.55
15-02-2001,14.1,5.35,26.75
16-02-2001,15,5.5,25.5
19-02-2001,12.9,5.03,24.5
20-02-2001,12.15,5.2,23.25
21-02-2001,11.5,4.5,20
22-02-2001,9.5,4.43,15.85
23-02-2001,8.3,3.7,13.9
26-02-2001,7.05,3.55,11.5
27-02-2001,6.4,3.15,11.55
28-02-2001,7.55,3.5,14.6
01-03-2001,8,3.85,13.5
02-03-2001,7.85,3.65,14.35
05-03-2001,7.9,3.55,14.05
06-03-2001,7.45,3.55,13.5
07-03-2001,6.65,3.1,11.85
08-03-2001,5.9,2.75,11.3
09-03-2001,6.75,3.05,13.15
12-03-2001,5.55,2.98,12
13-03-2001,5.7,2.5,10.25
14-03-2001,3.65,2.5,6.75
15-03-2001,3.65,1.7,7.25
16-03-2001,1.95,1.1,3.7
19-03-2001,2,1.23,4.15
20-03-2001,3.05,1.85,4.25
21-03-2001,3.2,2,4.6
22-03-2001,5.1,2.65,8.8
23-03-2001,7,3.5,11
26-03-2001,6.75,3.25,12
27-03-2001,7.7,3.38,14.55
28-03-2001,7.45,3.1,13.7
29-03-2001,6.9,2.5,12.35
30-03-2001,4.95,1.9,8.6
02-04-2001,5.15,2.5,8
03-04-2001,5.1,2.4,7.7
04-04-2001,4.4,2.5,5.15
05-04-2001,5,2,8.5
06-04-2001,5,2,8.5
09-04-2001,3.45,2.5,4.8
10-04-2001,3,2.5,6.05
11-04-2001,2.25,1.1,2.75
12-04-2001,0.45,0.9,-0.35
13-04-2001,1,0.75,-0.5
16-04-2001,0.75,0.75,1.35
17-04-2001,0.45,0.85,0.95
18-04-2001,-5,-1.25,-7
19-04-2001,-8.65,-2.25,-15
20-04-2001,-9.1,-2.4,-19.5
23-04-2001,-9.95,-2.85,-21
24-04-2001,-10.8,-2.8,-22.15
25-04-2001,-10.4,-2.8,-20.5
26-04-2001,-11.7,-2.9,-20
27-04-2001,-11.6,-2.75,-20
30-04-2001,-11.9,-3.45,-23
01-05-2001,-13,-3.35,-24.3
02-05-2001,-12.8,-3.6,-24
03-05-2001,-13.15,-4,-24.45
04-05-2001,-16.3,-5.5,-29.95
07-05-2001,-16.15,-5.25,-31.5
08-05-2001,-17,-5.2,-31
09-05-2001,-15.85,-4.85,-28.4
10-05-2001,-10.85,-3.65,-17.5
11-05-2001,-10.15,-3.4,-15.75
14-05-2001,-11.25,-3.9,-13.5
15-05-2001,-12.55,-4.15,-21.5
16-05-2001,-11.85,-3.9,-21
17-05-2001,-10.9,-3.8,-18.5
18-05-2001,-11.6,-3.8,-18.5
21-05-2001,-11.25,-4,-18.25
22-05-2001,-11.5,-3.95,-19.75
23-05-2001,-12.15,-4.05,-21
24-05-2001,-11.6,-3.95,-19.5
25-05-2001,-13.05,-4.05,-22.5
28-05-2001,-12.8,-3.9,-21.5
29-05-2001,-12.2,-3.5,-20.85
30-05-2001,-11.95,-3.78,-20.5
31-05-2001,-12.5,-4,-22.25
01-06-2001,-11.9,-3.65,-19.75
04-06-2001,-11.65,-3.55,-19
05-06-2001,-11.45,-3.55,-18.25
06-06-2001,-11.4,-3.65,-18.3
07-06-2001,-12.1,-3.95,-20
08-06-2001,-12.25,-4.05,-19.9
11-06-2001,-12.6,-4.3,-20.6
12-06-2001,-13.45,-4.5,-22.3
13-06-2001,-14.05,-4.45,-24.5
14-06-2001,-14.35,-4.55,-24.9
15-06-2001,-14.8,-4.5,-25.95
18-06-2001,-15.5,-5.55,-27
19-06-2001,-16.6,-5.45,-27.6
20-06-2001,-15.65,-5.45,-27
