Dates,XAU/USD
03-01-2000,289
04-01-2000,282.25
05-01-2000,280
06-01-2000,281.1
07-01-2000,281.75
10-01-2000,281.48
11-01-2000,283.25
12-01-2000,282.35
13-01-2000,284.25
14-01-2000,284.2
17-01-2000,285.5
18-01-2000,288.65
19-01-2000,289.63
20-01-2000,288.5
21-01-2000,289.1
24-01-2000,287.6
25-01-2000,287.05
26-01-2000,286
27-01-2000,286.85
28-01-2000,283.25
31-01-2000,283.5
01-02-2000,282.63
02-02-2000,284.75
03-02-2000,287.45
04-02-2000,310.3
07-02-2000,302.75
08-02-2000,301.75
09-02-2000,306.75
10-02-2000,315
11-02-2000,310.95
14-02-2000,308.15
15-02-2000,301.75
16-02-2000,302.5
17-02-2000,300.5
18-02-2000,305
21-02-2000,305.5
22-02-2000,304.4
23-02-2000,300
24-02-2000,298.5
25-02-2000,292.6
28-02-2000,291.75
29-02-2000,292.2
01-03-2000,289.75
02-03-2000,288.5
03-03-2000,288.8
06-03-2000,287.63
07-03-2000,293.25
08-03-2000,288.13
09-03-2000,291.2
10-03-2000,289
13-03-2000,290.7
14-03-2000,288.88
15-03-2000,288.85
16-03-2000,286.5
17-03-2000,284.6
20-03-2000,286.88
21-03-2000,289.63
22-03-2000,287.88
23-03-2000,286.28
24-03-2000,285
27-03-2000,280.3
28-03-2000,279.4
29-03-2000,276.4
30-03-2000,276.75
31-03-2000,279.08
03-04-2000,278.2
04-04-2000,284.45
05-04-2000,281.5
06-04-2000,280.5
07-04-2000,280
10-04-2000,282
11-04-2000,281.8
12-04-2000,282.05
13-04-2000,281.6
14-04-2000,282.6
17-04-2000,281.38
18-04-2000,281.3
19-04-2000,280.7
20-04-2000,280
21-04-2000,280
24-04-2000,279.8
25-04-2000,278.4
26-04-2000,275.88
27-04-2000,277.05
28-04-2000,273.55
01-05-2000,273.35
02-05-2000,274.95
03-05-2000,278.25
04-05-2000,279.95
05-05-2000,278.95
08-05-2000,276.73
09-05-2000,277.25
10-05-2000,277.75
11-05-2000,275.95
12-05-2000,276.15
15-05-2000,275.45
16-05-2000,275.65
17-05-2000,273.35
