Date,AAPL US EQUITY,AAPL Dividend Yield,P&G US Equity ,P&G Dividend Yield,J&J US Equity,J&J Dividend Yield,Ford US Equity,Ford Dividend Yield,AT&T US Equity,AT&T Dividend Yield,KO US Equity,KO Dividend Yield,MSFT US Equity,MSFT Dividend Yield,,
03-01-2000,0.999,0,53.5938,1.1289,46.0938,1.1824,50.315,3.7365,35.4745,2.7203,28.1875,1.1353,58.2813,0,,
04-01-2000,0.915,0,52.5625,1.151,44.4063,1.2273,48.6339,3.8656,33.3988,2.8893,28.2188,1.134,56.3125,0,,
05-01-2000,0.929,0,51.5625,1.1733,44.875,1.2145,48.814,3.8514,33.9177,2.8451,28.4688,1.124,56.9063,0,,
06-01-2000,0.848,0,53.9375,1.1217,46.2813,1.1776,48.874,3.8466,33.0215,2.9526,28.5,1.1228,55,0,,
07-01-2000,0.888,0,58.25,1.0386,48.25,1.1295,52.4765,3.5826,33.3045,2.9275,30.375,1.0535,55.7188,0,,
10-01-2000,0.873,0,57.9688,1.0437,47.0313,1.1588,51.5159,3.6494,33.7762,2.8866,29.4063,1.0882,56.125,0,,
11-01-2000,0.828,0,58.875,1.0276,47.1875,1.155,50.1349,3.7499,33.3045,2.9275,30.4063,1.0524,54.6875,0,,
12-01-2000,0.778,0,58.5,1.0342,46.75,1.1658,51.5759,3.6451,31.5591,3.0894,30.75,1.0407,52.9063,0,,
13-01-2000,0.864,0,57.5,1.0522,46.6875,1.1673,50.9755,3.688,30.8043,3.1651,30.2813,1.0568,53.9063,0,,
14-01-2000,0.897,0,58.5,1.0342,46.8438,1.1634,49.7146,3.7816,31.7006,3.0757,30.5313,1.0481,56.125,0,,
18-01-2000,0.928,0,58.4688,1.0347,45.6563,1.1937,52.1163,3.6073,31.0402,3.1411,32.5,0.9846,57.6563,0,,
19-01-2000,0.951,0,57.6875,1.0791,45.8125,1.1896,51.3357,3.6622,30.6156,3.1847,32.625,0.9808,53.5,0,,
20-01-2000,1.013,0,56.2813,1.1061,45.3125,1.2028,49.8347,3.7725,30.9458,3.1507,32.9375,0.9715,53,0,,
21-01-2000,0.994,0,51.3438,1.2124,44.9375,1.2128,48.4537,3.88,32.4554,3.0041,33.4375,0.957,51.875,0,,
24-01-2000,0.949,0,51.4375,1.2102,41.8438,1.3025,49.1142,3.8278,31.7006,3.0757,32.4375,0.9865,50.625,0,,
25-01-2000,1.002,0,48.75,1.2769,42.625,1.2786,48.1535,3.9042,30.191,3.2294,32.9375,0.9715,51.4063,0,,
26-01-2000,0.984,0,50.3125,1.2373,41.75,1.3054,46.1121,4.077,30.191,3.2294,31.5313,1.0149,49.6875,0,,
27-01-2000,0.982,0,52.0313,1.1964,40.25,1.354,47.9734,3.9188,29.4363,3.3122,29.75,1.0756,49.375,0,,
28-01-2000,0.907,0,50.1563,1.2411,42.25,1.2899,47.0728,4.0788,29.625,3.2911,28.4688,1.124,49.125,0,,
31-01-2000,0.926,0,50.5313,1.2319,43.0313,1.2665,47.7933,4.0173,32.361,3.0129,28.7188,1.1143,48.9375,0,,
01-02-2000,0.895,0,49.75,1.2513,42.4063,1.2852,47.8533,4.0123,31.9836,3.0484,29.0625,1.1011,51.4688,0,,
02-02-2000,0.882,0,49.3125,1.2624,42.6875,1.2767,46.7125,4.1102,32.078,3.0395,28.1875,1.1353,50.4063,0,,
03-02-2000,0.922,0,48.9063,1.2728,41.6563,1.3083,46.8326,4.0997,31.7006,3.0757,27.625,1.1584,51.8125,0,,
04-02-2000,0.964,0,47.375,1.314,41.0625,1.3272,46.1722,4.1584,31.7006,3.0757,28.125,1.1378,53.2813,0,,
07-02-2000,1.018,0,46.625,1.3351,40.7188,1.3384,46.0521,4.1692,31.6062,3.0848,28.4375,1.1253,53.3125,0,,
08-02-2000,1.026,0,47.875,1.3003,41.0313,1.3283,46.2322,4.153,31.7478,3.0711,28.5938,1.1191,54.9688,0,,
09-02-2000,1.006,0,47,1.3245,40,1.3625,45.3316,4.2355,32.1723,3.0306,28.5,1.1228,52,0,,
10-02-2000,1.013,0,45.7188,1.3616,39,1.3974,45.1514,4.2524,31.7949,3.0665,28.3438,1.129,53,0,,
11-02-2000,0.971,0,46.875,1.328,38.7207,1.4463,44.3109,4.333,30.5213,3.1945,27.7813,1.1519,49.9688,0,,
