Date,MSCI EM ETF
11-04-2003,11.0778
14-04-2003,11.2222
15-04-2003,11.3556
16-04-2003,11.4867
17-04-2003,11.5689
21-04-2003,11.5644
22-04-2003,11.6033
23-04-2003,11.6578
24-04-2003,11.4278
25-04-2003,11.2389
28-04-2003,11.4244
29-04-2003,11.75
30-04-2003,11.7167
01-05-2003,11.6711
02-05-2003,11.85
05-05-2003,11.9778
06-05-2003,12.0389
07-05-2003,12.0167
08-05-2003,11.9111
09-05-2003,12.0511
12-05-2003,12.2189
13-05-2003,12.15
14-05-2003,12.0889
15-05-2003,12.1133
16-05-2003,12.1222
19-05-2003,11.8333
20-05-2003,11.8922
21-05-2003,11.9022
22-05-2003,12.01
23-05-2003,12.1333
27-05-2003,12.5678
28-05-2003,12.6222
29-05-2003,12.6389
30-05-2003,12.7856
02-06-2003,12.8778
03-06-2003,12.78
04-06-2003,12.9444
05-06-2003,12.9578
06-06-2003,13.0789
09-06-2003,12.9667
10-06-2003,13.1
11-06-2003,13.1111
12-06-2003,13.21
13-06-2003,13.2056
16-06-2003,13.3478
17-06-2003,13.6222
18-06-2003,13.5722
19-06-2003,13.5722
20-06-2003,13.5722
23-06-2003,13.2389
24-06-2003,13.1411
25-06-2003,13.25
26-06-2003,13.3933
27-06-2003,13.3311
30-06-2003,13.3222
01-07-2003,13.4667
02-07-2003,13.7833
03-07-2003,13.8222
07-07-2003,14.1644
08-07-2003,14.2044
09-07-2003,14.1711
10-07-2003,13.9222
11-07-2003,14.0389
14-07-2003,14.2856
15-07-2003,14.1056
16-07-2003,14.1167
17-07-2003,13.7478
18-07-2003,13.9311
21-07-2003,13.7467
22-07-2003,13.9111
23-07-2003,13.8222
24-07-2003,13.8889
25-07-2003,14.1167
28-07-2003,14.1944
29-07-2003,14.1144
30-07-2003,14.0111
31-07-2003,14.0778
01-08-2003,14.1089
04-08-2003,14.0467
05-08-2003,13.8956
06-08-2003,13.8333
07-08-2003,13.9344
08-08-2003,14.0278
11-08-2003,14.0889
12-08-2003,14.1444
13-08-2003,14.3444
14-08-2003,14.5333
15-08-2003,14.3889
18-08-2003,14.6956
19-08-2003,14.7678
20-08-2003,14.77
21-08-2003,15.0411
22-08-2003,15.1178
25-08-2003,15
26-08-2003,14.8167
27-08-2003,14.9889
28-08-2003,15.0933
29-08-2003,15.2022
02-09-2003,15.4278
03-09-2003,15.55
04-09-2003,15.6056
05-09-2003,15.5911
08-09-2003,15.8867
09-09-2003,15.6111
10-09-2003,15.3511
11-09-2003,15.3333
12-09-2003,15.4422
15-09-2003,15.2144
16-09-2003,15.5278
17-09-2003,15.4611
18-09-2003,15.6389
19-09-2003,15.5667
22-09-2003,15.3122
23-09-2003,15.35
24-09-2003,15.3778
25-09-2003,15.15
26-09-2003,15.0444
29-09-2003,15.1511
30-09-2003,15.1033
01-10-2003,15.5
02-10-2003,15.7222
03-10-2003,15.8778
06-10-2003,15.9389
07-10-2003,15.9222
08-10-2003,16.0411
09-10-2003,16.3111
10-10-2003,16.5111
13-10-2003,16.7611
14-10-2003,16.4411
15-10-2003,16.64
16-10-2003,16.6356
17-10-2003,16.5344
20-10-2003,16.6267
21-10-2003,16.71
22-10-2003,16.4644
23-10-2003,16.2222
24-10-2003,16.1367
27-10-2003,16.3222
28-10-2003,16.5456
29-10-2003,16.6833
30-10-2003,16.6233
31-10-2003,16.49
03-11-2003,16.8833
04-11-2003,16.93
05-11-2003,16.9522
06-11-2003,16.8311
07-11-2003,16.8489
10-11-2003,16.6167
11-11-2003,16.4033
12-11-2003,16.6956
13-11-2003,16.8244
14-11-2003,16.7389
17-11-2003,16.4122
18-11-2003,16.4444
19-11-2003,16.3378
20-11-2003,16.1267
21-11-2003,16.2667
24-11-2003,16.4433
25-11-2003,16.5
26-11-2003,16.6511
28-11-2003,16.8
01-12-2003,17.2811
02-12-2003,17.2044
03-12-2003,17.1444
04-12-2003,17.0267
05-12-2003,16.9944
08-12-2003,17.0278
09-12-2003,16.9567
10-12-2003,16.8889
11-12-2003,17.1967
12-12-2003,17.2756
15-12-2003,17.2889
16-12-2003,17.2167
17-12-2003,17.0167
18-12-2003,17.2911
19-12-2003,17.3333
22-12-2003,17.5
23-12-2003,17.5478
24-12-2003,17.6044
26-12-2003,17.6489
29-12-2003,17.9156
30-12-2003,18.0011
31-12-2003,18.2144
02-01-2004,18.62
05-01-2004,19.2733
06-01-2004,19.0556
07-01-2004,19.1
08-01-2004,19.1722
09-01-2004,19.1378
12-01-2004,19.1211
13-01-2004,19.0122
14-01-2004,19.0422
15-01-2004,18.6533
16-01-2004,18.7333
20-01-2004,19.2778
21-01-2004,19.3033
22-01-2004,19.2544
23-01-2004,19.2222
26-01-2004,19.35
27-01-2004,19.2522
28-01-2004,18.98
29-01-2004,18.6811
30-01-2004,18.6556
02-02-2004,18.66
03-02-2004,18.5556
04-02-2004,18.3889
05-02-2004,18.3833
06-02-2004,18.8022
09-02-2004,19.0733
10-02-2004,19.0567
11-02-2004,19.3522
12-02-2004,19.3422
13-02-2004,19.3556
17-02-2004,19.7444
18-02-2004,19.4756
19-02-2004,19.3056
20-02-2004,19.0889
23-02-2004,18.9222
24-02-2004,18.8222
25-02-2004,19.0278
26-02-2004,19.1222
27-02-2004,19.3933
01-03-2004,19.8356
02-03-2004,19.6778
03-03-2004,19.5556
04-03-2004,19.6889
05-03-2004,19.7611
08-03-2004,19.5722
09-03-2004,19.4444
10-03-2004,19
11-03-2004,18.5889
12-03-2004,18.7444
15-03-2004,18.3944
16-03-2004,18.6222
17-03-2004,18.8778
18-03-2004,18.9889
19-03-2004,18.7389
22-03-2004,18.4389
23-03-2004,18.6244
24-03-2004,18.6389
25-03-2004,18.8211
26-03-2004,18.7867
29-03-2004,19.0278
30-03-2004,19.2611
31-03-2004,19.5
01-04-2004,19.6589
02-04-2004,19.8556
05-04-2004,19.9944
06-04-2004,20.1056
07-04-2004,20.0333
08-04-2004,20.05
12-04-2004,20.2044
13-04-2004,19.9689
14-04-2004,19.6744
15-04-2004,19.5111
16-04-2004,19.6556
19-04-2004,19.6889
20-04-2004,19.5167
21-04-2004,19.3722
22-04-2004,19.3667
23-04-2004,19.5111
26-04-2004,19.2333
27-04-2004,19.1311
28-04-2004,18.5833
29-04-2004,17.9711
30-04-2004,17.5889
03-05-2004,17.7656
04-05-2004,18.1133
05-05-2004,18.1578
06-05-2004,17.7811
07-05-2004,17.3811
10-05-2004,16.5422
11-05-2004,17.0333
12-05-2004,17.0389
13-05-2004,16.9944
14-05-2004,16.5467
17-05-2004,15.8844
18-05-2004,16.3567
19-05-2004,16.8089
20-05-2004,16.7056
21-05-2004,16.98
24-05-2004,17.2444
25-05-2004,17.6244
26-05-2004,17.5556
27-05-2004,17.8333
28-05-2004,17.7944
01-06-2004,17.6711
02-06-2004,17.6711
03-06-2004,17.2789
04-06-2004,17.5333
07-06-2004,18.1389
08-06-2004,17.8867
09-06-2004,17.4822
10-06-2004,17.5022
14-06-2004,16.8278
15-06-2004,17.1533
16-06-2004,16.9233
17-06-2004,17.0078
18-06-2004,16.9111
21-06-2004,16.9889
22-06-2004,17.1689
23-06-2004,17.4744
24-06-2004,17.5444
25-06-2004,17.7222
28-06-2004,17.5711
29-06-2004,17.7056
30-06-2004,17.9589
01-07-2004,17.7344
02-07-2004,17.7333
06-07-2004,17.5433
