Dates,EURUSD
03-01-2000,1.0243
04-01-2000,1.0296
05-01-2000,1.0321
06-01-2000,1.0328
07-01-2000,1.0295
10-01-2000,1.0256
11-01-2000,1.0336
12-01-2000,1.0309
13-01-2000,1.0258
14-01-2000,1.0122
17-01-2000,1.0122
18-01-2000,1.0137
19-01-2000,1.0133
20-01-2000,1.0168
21-01-2000,1.0098
24-01-2000,1.0072
25-01-2000,1.0009
26-01-2000,1.0019
27-01-2000,0.9882
28-01-2000,0.9747
31-01-2000,0.9707
01-02-2000,0.9711
02-02-2000,0.9765
03-02-2000,0.9894
04-02-2000,0.9832
07-02-2000,0.9815
08-02-2000,0.9855
09-02-2000,0.9942
10-02-2000,0.9854
11-02-2000,0.9875
14-02-2000,0.9783
15-02-2000,0.9815
16-02-2000,0.9863
17-02-2000,0.9878
18-02-2000,0.9839
21-02-2000,0.9877
22-02-2000,1.0038
23-02-2000,1.0036
24-02-2000,0.992
25-02-2000,0.9749
28-02-2000,0.9709
29-02-2000,0.9642
01-03-2000,0.9727
02-03-2000,0.9656
03-03-2000,0.9586
06-03-2000,0.9586
07-03-2000,0.9584
08-03-2000,0.961
09-03-2000,0.9669
10-03-2000,0.9637
13-03-2000,0.9642
14-03-2000,0.9686
15-03-2000,0.9669
16-03-2000,0.9696
17-03-2000,0.9721
20-03-2000,0.9728
21-03-2000,0.9615
22-03-2000,0.961
23-03-2000,0.9715
24-03-2000,0.9779
27-03-2000,0.9672
28-03-2000,0.9605
29-03-2000,0.9514
30-03-2000,0.9613
31-03-2000,0.9555
03-04-2000,0.9553
04-04-2000,0.9596
05-04-2000,0.9625
06-04-2000,0.9584
07-04-2000,0.9553
10-04-2000,0.9627
11-04-2000,0.9592
12-04-2000,0.959
13-04-2000,0.9524
14-04-2000,0.9622
17-04-2000,0.9527
18-04-2000,0.9453
19-04-2000,0.9402
20-04-2000,0.9374
21-04-2000,0.9385
24-04-2000,0.938
25-04-2000,0.9208
26-04-2000,0.9235
27-04-2000,0.9099
28-04-2000,0.9119
01-05-2000,0.9158
02-05-2000,0.91
03-05-2000,0.8948
04-05-2000,0.8895
05-05-2000,0.897
08-05-2000,0.8977
09-05-2000,0.9075
10-05-2000,0.9068
11-05-2000,0.9016
12-05-2000,0.9197
15-05-2000,0.9112
16-05-2000,0.9003
17-05-2000,0.8959
18-05-2000,0.8946
19-05-2000,0.8975
22-05-2000,0.9031
23-05-2000,0.9071
24-05-2000,0.9044
25-05-2000,0.9115
26-05-2000,0.9309
29-05-2000,0.9266
30-05-2000,0.9301
31-05-2000,0.938
01-06-2000,0.9312
02-06-2000,0.9463
05-06-2000,0.9479
06-06-2000,0.9548
07-06-2000,0.9622
08-06-2000,0.956
09-06-2000,0.9536
12-06-2000,0.9538
13-06-2000,0.9596
14-06-2000,0.9579
15-06-2000,0.9547
16-06-2000,0.965
19-06-2000,0.9567
20-06-2000,0.9548
21-06-2000,0.9442
22-06-2000,0.9355
23-06-2000,0.9359
26-06-2000,0.9369
27-06-2000,0.9459
28-06-2000,0.9401
29-06-2000,0.952
30-06-2000,0.9525
03-07-2000,0.9502
04-07-2000,0.9513
05-07-2000,0.9525
06-07-2000,0.9507
07-07-2000,0.9484
10-07-2000,0.9553
11-07-2000,0.9527
12-07-2000,0.9424
13-07-2000,0.9372
14-07-2000,0.9385
17-07-2000,0.9366
18-07-2000,0.9248
19-07-2000,0.9246
20-07-2000,0.9331
21-07-2000,0.9369
24-07-2000,0.9337
25-07-2000,0.9385
26-07-2000,0.9428
27-07-2000,0.9317
28-07-2000,0.923
31-07-2000,0.9266
01-08-2000,0.9147
02-08-2000,0.9136
03-08-2000,0.9061
04-08-2000,0.9083
07-08-2000,0.9071
08-08-2000,0.9022
09-08-2000,0.9006
10-08-2000,0.9083
11-08-2000,0.9026
14-08-2000,0.9056
15-08-2000,0.9135
16-08-2000,0.9161
17-08-2000,0.9162
18-08-2000,0.9064
21-08-2000,0.9017
22-08-2000,0.8964
23-08-2000,0.9017
24-08-2000,0.9021
