Date,USGG10YR Index  (L3),USGG2YR Index  (L4),FEDL01 Index  (R1),MOVE Index  (R1)
01-01-2004,,,,117.91
02-01-2004,4.3794,1.8991,1.01,118.01
05-01-2004,4.3774,1.9153,0.97,113.84
06-01-2004,4.271,1.8184,0.92,108.77
07-01-2004,4.2416,1.8184,0.94,110.91
08-01-2004,4.2553,1.8264,0.99,109.71
09-01-2004,4.0803,1.656,0.99,102.82
12-01-2004,4.0861,1.6476,1,100.21
13-01-2004,4.011,1.5825,0.99,97.54
14-01-2004,3.9937,1.6226,1.01,100.83
15-01-2004,3.9688,1.6385,1.04,103.64
16-01-2004,4.0299,1.6699,0.98,104.53
19-01-2004,,,,104.53
20-01-2004,4.0548,1.6529,1.02,102.73
21-01-2004,4.0182,1.6365,1,103.43
22-01-2004,3.953,1.5951,1.02,105.73
23-01-2004,4.072,1.6598,1,112.22
26-01-2004,4.1301,1.6926,1.08,114.44
27-01-2004,4.0738,1.6427,1.02,111.6
28-01-2004,4.1885,1.8165,0.99,116.53
29-01-2004,4.1729,1.7831,1,124.93
30-01-2004,4.1319,1.8189,1.03,116.75
31-01-2004,,,,
02-02-2004,4.1455,1.8028,1.01,116.21
03-02-2004,4.0968,1.7465,0.97,116.4
04-02-2004,4.1123,1.7544,1,120.71
05-02-2004,4.1669,1.8266,1.01,125.73
06-02-2004,4.0772,1.7456,0.99,115.11
09-02-2004,4.052,1.7373,1.01,107.43
10-02-2004,4.1121,1.8019,1,107.42
11-02-2004,4.0306,1.7045,1,95.62
12-02-2004,4.0441,1.7043,1.02,96.34
13-02-2004,4.0402,1.6707,1.01,96.33
16-02-2004,,,,96.33
17-02-2004,4.0383,1.662,1.02,93.61
18-02-2004,4.0479,1.6783,1,92.63
19-02-2004,4.0306,1.6453,1,91.65
20-02-2004,4.0961,1.7018,0.99,92.83
23-02-2004,4.0363,1.6522,1,91.04
24-02-2004,4.0229,1.6355,0.99,90.94
25-02-2004,4.0075,1.6022,1.02,92.36
26-02-2004,4.0344,1.6729,1.03,93.2
27-02-2004,3.9711,1.641,1.04,90.14
29-02-2004,,,,
01-03-2004,3.973,1.649,1.04,90.14
02-03-2004,4.0421,1.7211,1,96.08
03-03-2004,4.0498,1.7213,1,104.37
04-03-2004,4.0151,1.6972,0.99,100.23
05-03-2004,3.8491,1.5605,1,92.3
08-03-2004,3.768,1.496,1,91.58
09-03-2004,3.7211,1.4797,0.99,93.3
10-03-2004,3.7285,1.5037,1,95.49
11-03-2004,3.6985,1.4551,1.01,99.85
12-03-2004,3.777,1.5193,0.99,97.75
15-03-2004,3.7619,1.5272,1.05,96.41
16-03-2004,3.6794,1.4702,0.99,95.02
17-03-2004,3.7111,1.4944,1,96.32
18-03-2004,3.7542,1.5187,1,97.6
19-03-2004,3.771,1.51,0.99,97.6
22-03-2004,3.7126,1.477,1.01,97.6
23-03-2004,3.6901,1.4686,0.99,96.7
24-03-2004,3.7069,1.4602,0.99,96.7
25-03-2004,3.7368,1.5,1.02,97.4
26-03-2004,3.8292,1.5797,1,105.3
29-03-2004,3.8882,1.6116,1,101.74
30-03-2004,3.8939,1.6196,0.98,102
31-03-2004,3.8348,1.5718,1.05,105.92
01-04-2004,3.8786,1.6199,1.03,112.4
02-04-2004,4.1435,1.846,1,112.16
05-04-2004,4.2064,1.8788,1.01,115.96
06-04-2004,4.1475,1.8307,1,103.08
07-04-2004,4.1573,1.8393,1,117.34
08-04-2004,4.1909,1.8574,1.02,115.5
09-04-2004,,,1.01,115.5
12-04-2004,4.2285,1.8829,1,112.14
13-04-2004,4.3519,1.9895,1,113.12
14-04-2004,4.364,2.0725,1.01,115.3
15-04-2004,4.4003,2.0567,1.03,117.57
16-04-2004,4.3383,1.9846,0.99,117.46
19-04-2004,4.3845,2.0349,1,115.09
20-04-2004,4.4573,2.152,0.99,118.35
21-04-2004,4.423,2.1612,0.99,117.79
22-04-2004,4.3807,2.1121,1,113.14
23-04-2004,4.4578,2.232,0.99,114.68
26-04-2004,4.4336,2.2246,1.01,114.21
27-04-2004,4.3832,2.1415,0.99,119.97
28-04-2004,4.4967,2.2435,1.01,120.24
29-04-2004,4.5356,2.3465,1.03,121.55
30-04-2004,4.5053,2.3145,1.03,122.93
03-05-2004,4.4993,2.3065,1.03,123.06
04-05-2004,4.5649,2.3228,1,119.98
05-05-2004,4.5794,2.3228,0.99,132.99
06-05-2004,4.598,2.3717,1,137.81
07-05-2004,4.7709,2.6178,0.99,122.89
10-05-2004,4.7921,2.5854,1,109.75
11-05-2004,4.7462,2.5694,0.96,106.33
12-05-2004,4.805,2.5863,0.98,108.8
13-05-2004,4.8516,2.6528,1,114.53
14-05-2004,4.7678,2.5301,1.02,114.53
17-05-2004,4.6887,2.4642,1.05,112.43
18-05-2004,4.7341,2.5142,1,109.96
19-05-2004,4.7717,2.5561,1,109.49
20-05-2004,4.7004,2.4983,1,108.29
21-05-2004,4.7558,2.541,0.99,107.77
24-05-2004,4.732,2.5247,1,103.1
25-05-2004,4.7201,2.5334,1,103.59
26-05-2004,4.6549,2.4416,0.99,107.18
27-05-2004,4.5999,2.4597,1,104.78
28-05-2004,4.6468,2.5323,1.02,106.12
31-05-2004,,,,106.12
01-06-2004,4.7001,2.589,1.02,108.71
02-06-2004,4.7377,2.6377,0.98,121.5
03-06-2004,4.7099,2.6135,0.99,116.66
04-06-2004,4.7715,2.6874,0.99,102.33
07-06-2004,4.7596,2.6549,0.99,96.02
08-06-2004,4.7615,2.6878,0.97,97.12
09-06-2004,4.8055,2.7619,0.99,97.68
10-06-2004,4.7935,2.7952,1,98.71
11-06-2004,4.7995,2.8046,1,98.71
14-06-2004,4.8698,2.9294,1.02,103.86
15-06-2004,4.676,2.7474,1.03,101.1
16-06-2004,4.7216,2.7892,1,101.79
17-06-2004,4.6779,2.7563,1.01,101.33
18-06-2004,4.7096,2.7824,1,99.12
21-06-2004,4.6837,2.7493,1,97.36
22-06-2004,4.7175,2.758,1,100.36
23-06-2004,4.6956,2.7249,1.02,101.36
24-06-2004,4.644,2.75,1.03,103.77
25-06-2004,4.6459,2.7338,1.05,100.95
28-06-2004,4.7354,2.8552,1.09,102.03
29-06-2004,4.6855,2.8147,1.13,99.96
30-06-2004,4.5806,2.6772,1.38,93.91
01-07-2004,4.5629,2.6366,1.4,99.72
02-07-2004,4.4589,2.5224,1.25,94.71
05-07-2004,,,,94.71
06-07-2004,4.4743,2.538,1.3,91.13
07-07-2004,4.4743,2.538,1.26,95.04
08-07-2004,4.4704,2.5132,1.26,94.43
09-07-2004,4.4565,2.5122,1.24,97.07
12-07-2004,4.4447,2.5201,1.26,97.53
13-07-2004,4.47,2.5525,1.24,103.84
14-07-2004,4.4797,2.5851,1.24,102.19
15-07-2004,4.4797,2.6013,1.3,99.63
16-07-2004,4.3491,2.4933,1.24,99.71
19-07-2004,4.3509,2.5177,1.25,95.32
20-07-2004,4.4441,2.6167,1.25,97.18
21-07-2004,4.4656,2.658,1.25,93.71
22-07-2004,4.444,2.6496,1.26,91.86
23-07-2004,4.4301,2.6491,1.25,90.53
26-07-2004,4.4848,2.7075,1.27,90.23
27-07-2004,4.6132,2.7913,1.27,94.79
28-07-2004,4.5834,2.7325,1.29,98.09
29-07-2004,4.5754,2.7499,1.3,97.13
30-07-2004,4.4747,2.6771,1.29,97.21
31-07-2004,,,,
02-08-2004,4.4491,2.6446,1.28,99.31
03-08-2004,4.4236,2.6363,1.24,98.9
04-08-2004,4.4176,2.6442,1.22,106.46
05-08-2004,4.4,2.6441,1.3,106.83
06-08-2004,4.2196,2.3833,1.32,103.11
09-08-2004,4.2561,2.4397,1.35,98.85
10-08-2004,4.2888,2.5289,1.43,96.53
11-08-2004,4.2713,2.4959,1.5,89.72
12-08-2004,4.2538,2.4955,1.51,93.34
13-08-2004,4.2268,2.4534,1.48,96.13
16-08-2004,4.2616,2.4776,1.43,94.46
17-08-2004,4.1901,2.3951,1.2,102.42
18-08-2004,4.2364,2.4275,1.39,106.71
19-08-2004,4.2132,2.3776,1.5,100.68
20-08-2004,4.2325,2.4339,1.5,100.88
23-08-2004,4.2829,2.4666,1.51,104.42
24-08-2004,4.2712,2.4496,1.51,103.45
25-08-2004,4.2615,2.4658,1.55,102.94
26-08-2004,4.2092,2.4717,1.55,102.53
27-08-2004,4.2265,2.4797,1.52,102
30-08-2004,4.1763,2.4555,1.54,100.03
31-08-2004,4.1167,2.3911,1.55,102.66
01-09-2004,4.1128,2.383,1.53,105.44
02-09-2004,4.2129,2.4558,1.51,106.86
03-09-2004,4.2945,2.5784,1.48,89.29
06-09-2004,,,,89.29
07-09-2004,4.238,2.5462,1.54,84.95
08-09-2004,4.1587,2.4645,1.51,100.51
09-09-2004,4.1953,2.481,1.49,98.73
10-09-2004,4.1856,2.4813,1.48,96.58
13-09-2004,4.1354,2.465,1.51,91.73
14-09-2004,4.1238,2.4322,1.4,92.22
15-09-2004,4.1643,2.4735,1.57,91.98
16-09-2004,4.0719,2.4076,1.61,91.08
17-09-2004,4.1064,2.4736,1.58,93.66
20-09-2004,4.0564,2.4243,1.64,92.23
21-09-2004,4.0353,2.4576,1.7,88.24
22-09-2004,3.978,2.4577,1.78,91.6
23-09-2004,4.0161,2.5161,1.8,98.19
24-09-2004,4.0273,2.567,1.76,95.63
27-09-2004,3.9891,2.5337,1.76,93.39
28-09-2004,4.0024,2.5171,1.72,92.34
29-09-2004,4.0866,2.593,1.76,92.56
30-09-2004,4.1194,2.605,1.94,92.89
01-10-2004,4.1871,2.6216,1.86,93.08
04-10-2004,4.1637,2.638,1.77,90.76
05-10-2004,4.1734,2.63,1.73,87.42
06-10-2004,4.2201,2.6874,1.74,96.29
07-10-2004,4.2416,2.6876,1.76,100.6
08-10-2004,4.1286,2.5817,1.71,91.38
11-10-2004,,,,91.38
12-10-2004,4.0976,2.549,1.78,92.54
13-10-2004,4.0552,2.4915,1.73,91.83
14-10-2004,4.0244,2.4668,1.77,91.22
15-10-2004,4.0531,2.5162,1.79,90.59
18-10-2004,4.0415,2.5079,1.73,86.88
19-10-2004,4.0318,2.541,1.72,85.85
20-10-2004,3.98,2.4996,1.74,92.1
21-10-2004,3.9952,2.5411,1.76,86.54
22-10-2004,3.974,2.5162,1.72,85.84
25-10-2004,3.9701,2.5078,1.76,88.42
26-10-2004,3.9988,2.5246,1.72,91.91
27-10-2004,4.0816,2.5832,1.77,95.42
28-10-2004,4.0487,2.5727,1.79,97.27
29-10-2004,4.0235,2.5484,1.79,96.45
31-10-2004,,,,
01-11-2004,4.0698,2.5808,1.83,96.79
02-11-2004,4.0465,2.5647,1.74,98.52
03-11-2004,4.0736,2.581,1.73,105.38
04-11-2004,4.0716,2.6218,1.77,102.81
05-11-2004,4.1727,2.7613,1.76,92.68
08-11-2004,4.2158,2.8027,1.8,91.2
09-11-2004,4.2257,2.8113,1.79,89.04
10-11-2004,4.2394,2.8369,1.92,86.77
11-11-2004,,,,86.77
12-11-2004,4.1786,2.8138,2.02,85.93
15-11-2004,4.1863,2.8636,2.06,86.72
16-11-2004,4.2056,2.8807,1.98,86.83
17-11-2004,4.1287,2.8063,1.99,86.21
18-11-2004,4.1134,2.84,1.99,86
19-11-2004,4.2035,2.9168,1.99,87.6
22-11-2004,4.1784,2.9425,2.01,86.04
23-11-2004,4.1823,2.9516,2,85.68
24-11-2004,4.1976,3.021,2.02,83.2
25-11-2004,,,,83.2
26-11-2004,4.2459,3.0291,2.01,84.9
29-11-2004,4.3179,3.0535,2.03,90.65
30-11-2004,4.3492,2.9967,2.02,89.56
01-12-2004,4.3649,3.005,2.04,88.23
02-12-2004,4.4063,3.0378,2,91.23
03-12-2004,4.2497,2.9156,1.98,78.12
06-12-2004,4.2206,2.9075,2.04,72.33
07-12-2004,4.2206,2.9321,1.99,66.76
08-12-2004,4.1183,2.8911,2.01,82.02
09-12-2004,4.1664,2.924,2.05,83.02
10-12-2004,4.1489,2.9323,2.09,82.98
13-12-2004,4.147,2.9572,2.18,82.22
14-12-2004,4.1219,2.9573,2.24,80.23
15-12-2004,4.0739,2.9325,2.31,82.3
16-12-2004,4.1836,2.9823,2.26,86.3
17-12-2004,4.199,2.9994,2.23,86.43
20-12-2004,4.1835,3.0246,2.26,81.64
21-12-2004,4.1622,3.0248,2.24,80.55
22-12-2004,4.1931,2.9998,2.25,81.08
23-12-2004,4.2242,3.0089,2.34,80.67
24-12-2004,,,2.27,80.67
27-12-2004,4.2965,3.0514,2.24,82.63
28-12-2004,4.2906,3.0684,2.24,85.8
29-12-2004,4.322,3.1025,2.23,85.1
30-12-2004,4.2534,3.0812,2.24,86.6
31-12-2004,4.2182,3.0651,1.97,86.6
03-01-2005,4.2104,3.0896,2.31,83.9
04-01-2005,4.2886,3.1962,2.25,83.3
05-01-2005,4.2808,3.2046,2.25,93.2
06-01-2005,4.2612,3.1556,2.25,92.4
07-01-2005,4.269,3.1891,2.24,92.38
10-01-2005,4.269,3.2141,2.26,79.01
11-01-2005,4.2357,3.2061,2.24,77.85
12-01-2005,4.2337,3.2064,2.25,76.95
13-01-2005,4.1635,3.1734,2.29,75.77
14-01-2005,4.208,3.2244,2.29,76.61
17-01-2005,,,,76.61
18-01-2005,4.1848,3.2249,2.31,76.53
19-01-2005,4.1711,3.2165,2.19,75.96
20-01-2005,4.1614,3.1833,2.25,74.4647
21-01-2005,4.1399,3.1419,2.26,76.3
24-01-2005,4.1204,3.1842,2.26,76.95
25-01-2005,4.1925,3.2098,2.29,77.32
26-01-2005,4.1964,3.2523,2.33,78.19
27-01-2005,4.2179,3.2796,2.39,80.21
28-01-2005,4.1397,3.2551,2.48,78.62
31-01-2005,4.128,3.2716,2.5,79.29
01-02-2005,4.1377,3.2799,2.4,75.96
02-02-2005,4.1396,3.3128,2.29,83.9
03-02-2005,4.163,3.3377,2.49,83.78
04-02-2005,4.0753,3.2808,2.51,75.51
07-02-2005,4.0501,3.2974,2.5,72.24
08-02-2005,4.0153,3.3059,2.48,72.84
09-02-2005,3.979,3.2318,2.5,77.1
10-02-2005,4.0888,3.2898,2.51,80.4
11-02-2005,4.0844,3.3236,2.5,81.95
14-02-2005,4.069,3.3488,2.51,84.66
15-02-2005,4.096,3.3407,2.53,84.12
16-02-2005,4.1521,3.3995,2.48,84.1
17-02-2005,4.1794,3.358,2.5,74.24
18-02-2005,4.2655,3.435,2.51,78.46
21-02-2005,,,,78.46
22-02-2005,4.2853,3.4273,2.57,83.99
23-02-2005,4.2617,3.4358,2.53,81.69
24-02-2005,4.2833,3.4785,2.55,82.94
25-02-2005,4.2638,3.5219,2.54,80.7
28-02-2005,4.3766,3.5958,2.52,90.05
01-03-2005,4.3647,3.5714,2.39,89.23
02-03-2005,4.3767,3.5552,2.48,101.41
03-03-2005,4.3768,3.5636,2.51,99.44
04-03-2005,4.3076,3.556,2.5,83
07-03-2005,4.3076,3.5892,2.51,76.3
08-03-2005,4.3911,3.6143,2.49,81.93
09-03-2005,4.5196,3.6562,2.5,92.1
10-03-2005,4.4633,3.6648,2.52,91.14
11-03-2005,4.5423,3.716,2.51,93.7
14-03-2005,4.508,3.7248,2.59,93.2
15-03-2005,4.5445,3.7336,2.61,92
