Date,USGG10YR Index  (L3),CWB US Equity  (R1),SPX Index  (R1),I10529 Index  (R1),VIX Index  (R1)
01-01-2010,3.8368,20.595,1115.1,127.282,21.68
04-01-2010,3.8155,20.8239,1132.98,127.4959,20.04
05-01-2010,3.7608,21.0146,1136.52,128.1047,19.35
06-01-2010,3.8215,20.9656,1137.14,128.1939,19.16
07-01-2010,3.8235,21.0255,1141.7,128.32,19.06
08-01-2010,3.8297,21.0146,1144.98,128.5732,18.13
11-01-2010,3.818,21.1509,1146.98,128.7859,17.55
12-01-2010,3.7108,21.0092,1136.22,129.0421,18.25
13-01-2010,3.7908,20.9492,1145.6801,128.8763,17.85
14-01-2010,3.7382,21.0855,1148.46,129.0789,17.63
15-01-2010,3.6744,20.9928,1136.03,129.4025,17.91
18-01-2010,3.6744,20.9928,1136.03,129.4025,17.91
19-01-2010,3.6919,21.1727,1150.23,129.3133,17.58
20-01-2010,3.6474,21.0092,1138.04,129.3582,18.68
21-01-2010,3.5858,20.6182,1116.48,129.5914,22.27
22-01-2010,3.6071,20.0337,1091.76,129.5605,27.31
25-01-2010,3.6265,20.1209,1096.79,129.4918,25.41
26-01-2010,3.6188,20.1645,1092.17,129.4359,24.55
27-01-2010,3.6479,20.1372,1097.5,129.3725,23.14
28-01-2010,3.6344,20.0909,1084.53,129.51,23.73
29-01-2010,3.5844,19.9901,1073.87,129.8213,24.62
31-01-2010,3.5844,19.9901,1073.87,129.8213,24.62
01-02-2010,3.6501,20.1276,1089.1899,129.5653,22.59
02-02-2010,3.6405,20.2859,1103.3199,129.6968,21.48
03-02-2010,3.7047,20.3023,1097.28,129.6015,21.6
04-02-2010,3.6058,19.9364,1063.11,129.9361,26.08
05-02-2010,3.5654,19.5679,1066.1899,130.0921,26.11
08-02-2010,3.5597,19.7945,1056.74,129.8591,26.51
09-02-2010,3.6448,19.931,1070.52,129.6203,26
10-02-2010,3.6897,19.8163,1068.14,129.3963,25.4
11-02-2010,3.7155,19.9419,1078.47,129.3955,23.96
12-02-2010,3.6928,19.8982,1075.51,129.8518,22.73
15-02-2010,3.6928,19.8982,1075.51,129.8518,22.73
16-02-2010,3.6569,20.1931,1094.87,129.8984,22.25
17-02-2010,3.7307,20.417,1099.51,129.6014,21.72
18-02-2010,3.8012,20.477,1106.75,129.489,20.63
19-02-2010,3.7726,20.495,1109.17,129.4583,20.02
22-02-2010,3.7955,20.4661,1108.02,129.6825,19.94
23-02-2010,3.6834,20.2422,1094.6,130.1061,21.37
24-02-2010,3.6909,20.4825,1105.24,130.1055,20.27
25-02-2010,3.6324,20.3921,1102.9399,130.337,20.1
26-02-2010,3.6117,20.5753,1104.49,130.5236,19.5
28-02-2010,3.6117,20.5753,1104.49,130.5236,19.5
01-03-2010,3.6079,20.709,1115.71,130.6169,19.26
02-03-2010,3.6041,20.9063,1118.3101,130.709,19.06
03-03-2010,3.6173,20.857,1118.79,130.7528,18.83
04-03-2010,3.6022,20.9995,1122.97,130.7566,18.72
05-03-2010,3.6796,21.1201,1138.7,130.5792,17.42
08-03-2010,3.7157,21.2352,1138.51,130.6901,17.79
09-03-2010,3.7005,21.1859,1140.45,130.798,17.92
10-03-2010,3.7215,21.3449,1145.61,130.6561,18.57
11-03-2010,3.7272,21.4052,1150.24,130.5544,18.06
12-03-2010,3.7006,21.3339,1149.99,130.5854,17.58
15-03-2010,3.6949,21.3723,1150.51,130.6899,18
16-03-2010,3.6493,21.5586,1159.46,130.982,17.69
17-03-2010,3.6361,21.586,1166.21,130.9756,16.91
18-03-2010,3.6759,21.5915,1165.83,130.81,16.62
19-03-2010,3.6892,21.4709,1159.9,130.6346,16.97
22-03-2010,3.6588,21.608,1165.8101,130.7942,16.87
23-03-2010,3.6854,21.6518,1174.17,130.8526,16.35
24-03-2010,3.8524,21.6135,1167.72,130.2643,17.55
25-03-2010,3.8777,21.5686,1165.73,130.1768,18.4
26-03-2010,3.8468,21.5038,1166.59,130.4348,17.77
