,BIZD,IWM,XLF,HYG,TLT,^VIX,VIX_Change,IWM_Change,XLF_Change,HYG,HY_OAS_Change,High_Vol_Regime,Stress_Period,Wide_Spread_Regime,XLF_Change_HighVol,IWM_Change_HighVol,HYG_HighVol,XLF_Change_Stress,IWM_Change_Stress,HYG_Stress,XLF_WideCred,HYG_WideCred,Credit_Market_Stress,Rate_Credit_Stress
2013-02-13,0.00346456689711307,0.004162914101935529,-0.0022473437016723077,0.0014994996499496287,-0.008170497917840474,0.02654326012877516,0.02654326012877516,0.004162914101935529,-0.0022473437016723077,0.0014994996499496287,-0.040000000000000036,0,0,0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2013-02-14,0.006893257088573717,0.002510833032209927,0.0033692897652889643,-0.0004280656787506105,0.009027280338496544,-0.024962271345822393,-0.024962271345822393,0.002510833032209927,0.0033692897652889643,-0.0004280656787506105,-0.040000000000000036,0,0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2013-02-15,-0.0024564210909706233,0.00032735445681130777,-0.004494609292706612,0.00010707250476243193,-0.002914041585591924,-0.015923888242412206,-0.015923888242412206,0.00032735445681130777,-0.004494609292706612,0.00010707250476243193,-0.009999999999999787,0,0,0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2013-02-19,0.009302413168314372,0.008790261925495287,0.009526531342161543,0.0009629037832115631,-0.004991094419912034,-0.01211154213703485,-0.01211154213703485,0.008790261925495287,0.009526531342161543,0.0009629037832115631,-0.020000000000000462,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-20,-0.010778975152517585,-0.018759410801244734,-0.015173288527276873,-0.0009629037832116069,0.0030147472411371098,0.1760740696910832,0.1760740696910832,-0.018759410801244734,-0.015173288527276873,-0.0009629037832116069,-0.009999999999999787,0,1,0,-0.0,-0.0,-0.0,-0.015173288527276873,-0.018759410801244734,-0.0009629037832116069,-0.0,-0.0,1.8063507631339236e-05,-3.0147472411370454e-05
2013-02-21,-0.018395178009612555,-0.009735365311511602,-0.007958892595567276,0.0010697063364071998,0.005831095653575564,0.036124326003229054,0.036124326003229054,-0.009735365311511602,-0.007958892595567276,0.0010697063364071998,0.040000000000000036,0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2013-02-22,0.015434903996212553,0.011934738796452737,0.01247864680932391,0.0024567273092779875,0.0006841822611040776,-0.0714833108913622,-0.0714833108913622,0.011934738796452737,0.01247864680932391,0.0024567273092779875,-0.019999999999999574,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-02-25,-0.011428524511877544,-0.02232802684488282,-0.027430122452246904,-0.003098491565598705,0.01946221352728956,0.29278545368466136,0.29278545368466136,-0.02232802684488282,-0.027430122452246904,-0.003098491565598705,-0.0600000000000005,1,1,0,-0.027430122452246904,-0.02232802684488282,-0.003098491565598705,-0.027430122452246904,-0.02232802684488282,-0.003098491565598705,-0.0,-0.0,6.918320285533089e-05,-0.0011677328116373833
2013-02-26,0.0044874950838619445,0.003924151871559219,0.00520108589287507,0.004910112226311802,-0.005798438420607485,-0.11837556646647333,-0.11837556646647333,0.003924151871559219,0.00520108589287507,0.004910112226311802,0.040000000000000036,1,1,0,0.00520108589287507,0.003924151871559219,0.004910112226311802,0.00520108589287507,0.003924151871559219,0.004910112226311802,0.0,0.0,1.926802608244726e-05,-0.0002319375368242996
2013-02-27,0.008915395468460615,0.010463130501893434,0.015441888919011458,0.001701725559086044,-0.002954965654484038,-0.13565074690739015,-0.13565074690739015,0.010463130501893434,0.015441888919011458,0.001701725559086044,-0.040000000000000036,0,1,0,0.0,0.0,0.0,0.015441888919011458,0.010463130501893434,0.001701725559086044,0.0,0.0,1.7805376603124845e-05,0.00011819862617936163
